global_index,tif_path,tif_exists,satellite,date,hour_utc,tile,region,ic_frac,ic_note
0,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200830T135739_N0500_R010_T25WER_20230321T193340_pB5_40_2_.tif,True,S2B,2020-08-30,13,T25WER,KQ,0.0176,ok
1,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170831T140011_N0500_R010_T25WER_20230831T055412_pB5_6_12_.tif,True,S2A,2017-08-31,14,T25WER,KQ,0.0,otsu_failed
2,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190817T141951_N0500_R096_T24WWU_20230503T120828_pB5_10_24_.tif,True,S2A,2019-08-17,14,T24WWU,SK,0.0,otsu_failed
3,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20210729T145921_N0500_R125_T22WES_20230122T163521_pB5_12_15_.tif,True,S2A,2021-07-29,14,T22WES,SK,0.0,otsu_failed
4,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20210731T153911_N0500_R011_T22WDB_20230224T225255_pB5_34_3_.tif,True,S2A,2021-07-31,15,T22WDB,SK,0.0,otsu_failed
5,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170831T140011_N0500_R010_T25WER_20230831T055412_pB5_11_22_.tif,True,S2A,2017-08-31,14,T25WER,KQ,0.0,otsu_failed
6,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20190714T134739_N0500_R110_T25WER_20230528T040828_pB5_36_0_.tif,True,S2B,2019-07-14,13,T25WER,KQ,0.0,otsu_failed
7,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617_pB5_25_24_.tif,True,S2A,2016-07-25,14,T22WES,SK,0.0,otsu_failed
8,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200827T134729_N0500_R110_T25WER_20230402T232045_pB5_38_1_.tif,True,S2B,2020-08-27,13,T25WER,KQ,0.0,otsu_failed
9,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200704T140739_N0500_R053_T24WWU_20230320T152013_pB5_27_13_.tif,True,S2B,2020-07-04,14,T24WWU,SK,0.0,otsu_failed
10,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170809T141009_N0500_R053_T24WWU_20230804T231749_pB5_17_21_.tif,True,S2B,2017-08-09,14,T24WWU,SK,0.1281,ok
11,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20180721T151911_N0500_R068_T22WDC_20230713T225440_pB5_29_28_.tif,True,S2A,2018-07-21,15,T22WDC,SK,0.0102,ok
12,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20210817T152911_N0500_R111_T22WDB_20230117T070154_pB5_11_39_.tif,True,S2A,2021-08-17,15,T22WDB,SK,0.0,otsu_failed
13,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20230709T140739_N0509_R053_T24WWU_20230709T161152_pB5_26_20_.tif,True,S2B,2023-07-09,14,T24WWU,SK,0.0421,ok
14,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170730T141009_N0500_R053_T25WES_20230901T040701_pB5_36_8_.tif,True,S2B,2017-07-30,14,T25WES,KQ,0.0894,ok
15,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_19_16_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.0,otsu_failed
16,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190705T141011_N0500_R053_T24WWU_20230603T191421_pB5_6_15_.tif,True,S2A,2019-07-05,14,T24WWU,SK,0.0,otsu_failed
17,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170831T140011_N0500_R010_T25WER_20230831T055412_pB5_10_19_.tif,True,S2A,2017-08-31,14,T25WER,KQ,0.0,otsu_failed
18,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20230709T140739_N0509_R053_T24WWU_20230709T161152_pB5_13_20_.tif,True,S2B,2023-07-09,14,T24WWU,SK,0.0,otsu_failed
19,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20210729T145921_N0500_R125_T22WES_20230122T163521_pB5_23_22_.tif,True,S2A,2021-07-29,14,T22WES,SK,0.0,otsu_failed
20,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20240911T140739_N0511_R053_T24WWU_20240911T160952_pB5_13_22_.tif,True,S2B,2024-09-11,14,T24WWU,SK,0.2894,ok
21,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20220714T140739_N0400_R053_T24WWU_20220714T173724_pB4_7_23_.tif,True,S2B,2022-07-14,14,T24WWU,SK,0.0,otsu_failed
22,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20240824T140041_N0511_R010_T25WER_20240824T174017_pB5_2_7_.tif,True,S2A,2024-08-24,14,T25WER,KQ,0.0,otsu_failed
23,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_11_15_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.306,ok
24,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170722T153911_N0500_R011_T22WDB_20231008T062148_pB5_12_37_.tif,True,S2A,2017-07-22,15,T22WDB,SK,0.0,otsu_failed
25,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20180913T140829_N0500_R053_T24WWU_20230707T095241_pB5_23_11_.tif,True,S2B,2018-09-13,14,T24WWU,SK,0.0,otsu_failed
26,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617_pB5_6_6_.tif,True,S2A,2016-07-25,14,T22WES,SK,0.0,otsu_failed
27,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_8_8_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.0,otsu_failed
28,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_16_14_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.0,otsu_failed
29,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20180723T141951_N0500_R096_T24WWU_20230628T041823_pB5_7_17_.tif,True,S2A,2018-07-23,14,T24WWU,SK,0.0,otsu_failed
30,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20210917T140729_N0500_R053_T24WWU_20230115T022255_pB5_15_25_.tif,True,S2B,2021-09-17,14,T24WWU,SK,0.0,otsu_failed
31,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_22_19_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.0,otsu_failed
32,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170831T140011_N0500_R010_T25WER_20230831T055412_pB5_18_17_.tif,True,S2A,2017-08-31,14,T25WER,KQ,0.021,ok
33,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_26_25_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.0,otsu_failed
34,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617_pB5_14_14_.tif,True,S2A,2016-07-25,14,T22WES,SK,0.138,ok
35,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617_pB5_13_13_.tif,True,S2A,2016-07-25,14,T22WES,SK,0.0,otsu_failed
36,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160822T155902_N0500_R097_T21WWU_20231026T124038_pB5_4_41_.tif,True,S2A,2016-08-22,15,T21WWU,SK,0.0015,ok
37,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190903T141011_N0500_R053_T24WWU_20230501T094031_pB5_26_19_.tif,True,S2A,2019-09-03,14,T24WWU,SK,0.0442,ok
38,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190903T141011_N0500_R053_T24WWU_20230501T094031_pB5_24_19_.tif,True,S2A,2019-09-03,14,T24WWU,SK,0.0244,ok
39,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200830T135739_N0500_R010_T25WER_20230321T193340_pB5_39_4_.tif,True,S2B,2020-08-30,13,T25WER,KQ,0.0223,ok
40,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170801T144919_N0500_R082_T22WES_20230804T124536_pB5_21_7_.tif,True,S2B,2017-08-01,14,T22WES,SK,0.0,otsu_failed
41,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170803T152909_N0500_R111_T22WDC_20230826T072407_pB5_15_30_.tif,True,S2B,2017-08-03,15,T22WDC,SK,0.0136,ok
42,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160830T151912_N0500_R068_T22WDB_20231020T235443_pB5_9_35_.tif,True,S2A,2016-08-30,15,T22WDB,SK,0.2191,ok
43,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200823T140739_N0500_R053_T24WWU_20230321T131119_pB5_15_22_.tif,True,S2B,2020-08-23,14,T24WWU,SK,0.0351,ok
44,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20240824T140041_N0511_R010_T25WER_20240824T174017_pB5_37_0_.tif,True,S2A,2024-08-24,14,T25WER,KQ,0.1025,ok
45,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160830T151912_N0500_R068_T22WDB_20231020T235443_pB5_9_36_.tif,True,S2A,2016-08-30,15,T22WDB,SK,0.0,otsu_failed
46,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200827T134729_N0500_R110_T25WER_20230402T232045_pB5_15_15_.tif,True,S2B,2020-08-27,13,T25WER,KQ,0.0,otsu_failed
47,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190903T141011_N0500_R053_T24WWU_20230501T094031_pB5_6_18_.tif,True,S2A,2019-09-03,14,T24WWU,SK,0.6634,ok
48,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170813T135029_N0500_R110_T25WER_20230830T221846_pB5_35_32_.tif,True,S2B,2017-08-13,13,T25WER,KQ,0.532,ok
49,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190709T152911_N0500_R111_T22WDB_20230603T230701_pB5_12_37_.tif,True,S2A,2019-07-09,15,T22WDB,SK,0.0,otsu_failed
50,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20220714T140739_N0400_R053_T24WWU_20220714T173724_pB4_6_21_.tif,True,S2B,2022-07-14,14,T24WWU,SK,0.0,otsu_failed
51,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190705T141011_N0500_R053_T24WWU_20230603T191421_pB5_8_29_.tif,True,S2A,2019-07-05,14,T24WWU,SK,0.0,otsu_failed
52,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190716T151911_N0500_R068_T22WDC_20230604T070424_pB5_4_12_.tif,True,S2A,2019-07-16,15,T22WDC,SK,0.0096,ok
53,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20200822T152911_N0209_R111_T21WXU_20200822T191829_pB2_20_31_.tif,True,S2A,2020-08-22,15,T21WXU,SK,0.0,otsu_failed
