chip_stem,source,sza_bin,scene_stem,block_ic,pass_ic,note
fisser_0140,fisser,sza_lt65,S2A_MSIL1C_20160707T153912_N0500_R011_T22WDB_20231030T140833,,,no_safe_file
fisser_0270,fisser,sza_lt65,S2A_MSIL1C_20160707T153912_N0500_R011_T22WDB_20231030T140833,,,no_safe_file
fisser_0287,fisser,sza_lt65,S2A_MSIL1C_20160707T153912_N0500_R011_T22WDB_20231030T140833,,,no_safe_file
fisser_0323,fisser,sza_lt65,S2A_MSIL1C_20160707T153912_N0500_R011_T22WDB_20231030T140833,,,no_safe_file
fisser_0111,fisser,sza_lt65,S2A_MSIL1C_20160721T151912_N0500_R068_T22WDB_20231007T084315,,,no_safe_file
fisser_0192,fisser,sza_lt65,S2A_MSIL1C_20160721T151912_N0500_R068_T22WDB_20231007T084315,,,no_safe_file
fisser_0007,fisser,sza_lt65,S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617,,,no_safe_file
fisser_0026,fisser,sza_lt65,S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617,,,no_safe_file
fisser_0034,fisser,sza_lt65,S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617,,,no_safe_file
fisser_0035,fisser,sza_lt65,S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617,,,no_safe_file
fisser_0064,fisser,sza_lt65,S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617,,,no_safe_file
fisser_0075,fisser,sza_lt65,S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617,,,no_safe_file
fisser_0080,fisser,sza_lt65,S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617,,,no_safe_file
fisser_0100,fisser,sza_lt65,S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617,,,no_safe_file
fisser_0117,fisser,sza_lt65,S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617,,,no_safe_file
fisser_0120,fisser,sza_lt65,S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617,,,no_safe_file
fisser_0122,fisser,sza_lt65,S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617,,,no_safe_file
