chip_stem,scene_stem,source,sza_bin,split,date,hour_utc,region,wind_speed_10m,temp_2m,pass_wind,pass_temp,pass_both
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c3328,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c4352,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c4864,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r9984_c7168,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r8704_c9216,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5632_c4864,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r8704_c6656,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4608_c5632,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c5632,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4096_c5376,S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125,roboflow,sza_65_70,train,2017-09-18,14,KQ,0.64,6.90,True,True,True
