chip_stem,n_existing_annotations,n_missed_candidates,missed_areas_m2
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9728_c2048,3,9,18300;4500;14500;87900;33500;4200;6600;2000;35200
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r7424_c4864,24,37,1700;2100;1900;4300;76800;3400;1800;8500;117700;3900;1900;3500;2000;2800;8200;8400;1700;3500;3800;3400;2300;8100;1600;2100;47500;29900;6800;1800;21100;1800;3300;2800;17100;7300;1800;1700;2100
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r5888_c5376,83,8,6800;9800;20300;11600;17600;39100;1700;2700
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5632_c7680,3,8,2400;75300;26000;8800;18500;1700;10800;2800
S2A_MSIL1C_20171102T141341_N0500_R053_T24WVT_20230720T212316_r3840_c10240,19,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8192_c2048,7,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3840_c4608,9,8,2600;2300;7000;33400;32500;81800;49300;2200
S2A_MSIL1C_20161107T141402_N0500_R053_T24WVT_20230921T211238_r8704_c10240,55,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6400_c4096,20,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r2560_c2816,11,6,1800;5000;54400;15200;17000;1600
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r6656_c5376,29,91,2500;2200;6500;3200;12000;49500;2000;6200;1700;5200;5500;4500;2000;16400;4200;5400;2000;1900;38900;5600;6800;3100;2500;1700;9700;13500;5600;1800;2300;8100;2200;3600;2200;4300;2500;3700;3400;4300;2200;1800;1700;5400;1600;4200;24200;8600;6400;1900;2300;1700;1700;2200;1700;1600;8300;1700;21700;2200;13100;33600;2500;36500;13800;2500;1700;3800;18900;2100;2300;4200;1800;12900;10800;2300;5900;82800;2200;2300;1800;13000;8900;9400;3300;10300;10000;1700;3000;4100;5400;2400;1600
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r9728_c0512,15,2,173500;30700
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r8192_c4352,11,0,
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r3072_c1536,1,3,5200;10900;15100
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r3840_c3840,25,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r6912_c5376,18,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r5120_c6912,12,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WDR_20230112T231721_r9728_c10496,7,12,10100;20600;8600;2500;2100;7200;4600;4000;7300;3600;17400;13100
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r2048_c3072,42,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r9472_c0768,55,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r2304_c2304,12,0,
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r8192_c4864,121,1,20700
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r3584_c0768,28,2,51200;5500
S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r10496_c3072,35,7,124600;3600;1600;11100;3600;2600;16200
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4864_c4608,2,31,245100;6500;3900;4200;1600;5100;3100;4300;45100;1900;18800;2000;26200;2500;2900;6500;5400;2500;2100;1600;229000;3900;2900;2100;1900;1700;1700;6800;2600;1900;4700
S2A_MSIL1C_20170920T140011_N0500_R010_T25WDR_20230809T203105_r10240_c9984,11,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r8960_c4864,10,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r7936_c2048,26,1,1600
S2B_MSIL1C_20221101T141329_N0510_R053_T24WWT_20240712T091554_r0000_c4864,11,5,2400;67500;11300;9600;10300
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r3328_c3840,50,1,10800
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r5120_c3584,11,0,
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r5632_c5888,172,0,
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r0512_c4352,4,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r7936_c4096,6,14,17500;10000;3800;10800;3200;3500;2000;3400;5700;2300;21200;34400;17300;4200
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r6912_c5120,38,0,
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r2560_c2304,2,1,8800
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r5376_c4096,17,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6912_c4352,9,0,
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r6400_c6144,24,131,2400;17500;2700;1800;2500;1900;5200;23200;2200;4400;6200;3100;2100;7100;14000;4400;3100;5000;1700;7800;12600;1900;2200;4200;32700;1900;2100;2400;7500;2400;1900;1600;2200;2100;2700;1700;3000;2700;1700;1600;2400;11500;2100;8600;2500;23500;1600;3400;3300;11500;2700;2000;2100;2300;1800;2000;60700;5300;14300;33300;15100;4000;9500;2800;20800;6300;5500;5100;2300;6500;6000;1900;1600;2300;87200;2200;9300;8200;2900;5400;1800;1800;2400;2200;1700;12800;3100;11400;2600;51900;2400;1700;2500;111800;2100;1900;2500;9600;5600;17400;6700;1800;1900;4200;4400;1700;126000;5100;1700;17600;1600;5400;4000;7300;3600;5000;36200;3900;2100;4700;1600;36500;3500;2000;2000;16300;34000;22800;1600;1900;3000
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r0000_c4864,61,7,2700;5200;6800;2000;1700;3100;1900
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r7424_c4608,5,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r1280_c3072,32,5,56800;163500;16600;5900;3400
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r6656_c3840,4,9,2900;10900;2000;2500;3200;2400;2200;4800;3900
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9472_c9984,76,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c2560,5,10,1700;1800;4500;2000;3200;25900;97800;1900;5600;2300
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r4864_c6144,85,0,
