chip_stem,reason,ic_frac,otsu_thresh
fisser_0002,ic_block_filter,0.3132,0.4709
fisser_0009,ic_block_filter,0.1527,0.4318
fisser_0010,ic_block_filter,0.4448,0.4983
fisser_0029,ic_block_filter,0.2372,0.4552
fisser_0034,ic_block_filter,0.2098,0.4473
fisser_0045,ic_block_filter,0.5653,0.5099
fisser_0059,ic_block_filter,0.2663,0.4591
fisser_0066,ic_block_filter,0.5157,0.4982
fisser_0072,ic_block_filter,0.1537,0.4435
fisser_0074,ic_block_filter,0.3306,0.4748
fisser_0085,ic_block_filter,0.1841,0.4397
fisser_0097,ic_block_filter,0.4301,0.4827
fisser_0106,ic_block_filter,0.5099,0.5060
fisser_0123,ic_block_filter,0.6502,0.5331
fisser_0143,ic_block_filter,0.1739,0.4434
fisser_0164,ic_block_filter,0.6881,0.5373
fisser_0169,ic_block_filter,0.2122,0.4320
fisser_0170,ic_block_filter,0.1924,0.4513
fisser_0175,ic_block_filter,0.1702,0.4436
fisser_0192,ic_block_filter,0.1928,0.4787
fisser_0203,ic_block_filter,0.3321,0.4671
fisser_0209,ic_block_filter,0.3411,0.4828
fisser_0211,ic_block_filter,0.1593,0.4202
fisser_0227,ic_block_filter,0.2080,0.4632
fisser_0231,ic_block_filter,0.2271,0.4553
fisser_0246,ic_block_filter,0.1586,0.4359
fisser_0259,ic_block_filter,0.4700,0.4982
fisser_0293,ic_block_filter,0.3210,0.4826
fisser_0300,ic_block_filter,0.3699,0.4749
fisser_0313,ic_block_filter,0.3273,0.4748
fisser_0314,ic_block_filter,0.2078,0.4397
fisser_0324,ic_block_filter,0.1915,0.4514
fisser_0328,ic_block_filter,0.1521,0.4436
fisser_0329,ic_block_filter,0.2033,0.4514
fisser_0349,ic_block_filter,0.2562,0.4747
fisser_0352,ic_block_filter,0.3067,0.4670
fisser_0362,ic_block_filter,0.1777,0.4360
fisser_0365,ic_block_filter,0.2844,0.4828
fisser_0373,ic_block_filter,0.5136,0.4903
fisser_0376,ic_block_filter,0.1529,0.4514
