epoch,train_loss,val_loss,train_iou,val_iou,lr
1,1.531446,1.460067,0.330587,0.412982,1.00e-04
2,1.246225,1.191059,0.419773,0.492988,9.99e-05
3,1.134802,1.056458,0.446134,0.511129,9.98e-05
4,1.092928,1.011351,0.452317,0.471631,9.96e-05
5,1.014964,0.973639,0.483995,0.523910,9.94e-05
6,0.993018,0.944720,0.493197,0.498136,9.91e-05
7,0.948559,0.926056,0.506445,0.519074,9.88e-05
8,0.915220,0.955569,0.527886,0.459202,9.84e-05
9,0.911133,0.918641,0.514348,0.560458,9.80e-05
10,0.886639,0.887314,0.536385,0.544403,9.76e-05
11,0.905627,0.918339,0.523540,0.470216,9.71e-05
12,0.835839,0.852113,0.555649,0.561138,9.65e-05
13,0.855571,0.854678,0.550765,0.583208,9.59e-05
14,0.802625,0.848180,0.558506,0.583593,9.53e-05
15,0.803752,0.833458,0.577715,0.563883,9.46e-05
16,0.762569,0.838986,0.580360,0.581846,9.39e-05
17,0.745094,0.830427,0.609646,0.540679,9.31e-05
18,0.744199,0.847417,0.593029,0.597913,9.23e-05
19,0.710974,0.804975,0.618044,0.583386,9.14e-05
20,0.733703,0.829747,0.599362,0.604352,9.05e-05
21,0.691726,0.807139,0.624861,0.598175,8.96e-05
22,0.693242,0.824497,0.619891,0.598111,8.86e-05
23,0.683999,0.791826,0.625032,0.567061,8.76e-05
24,0.657049,0.783192,0.650307,0.566242,8.66e-05
25,0.656768,0.844396,0.634453,0.610562,8.55e-05
26,0.632402,0.778315,0.651172,0.601246,8.44e-05
27,0.614989,0.826707,0.657444,0.611255,8.32e-05
28,0.595159,0.820341,0.674566,0.600326,8.21e-05
29,0.588108,0.784682,0.676756,0.591914,8.08e-05
30,0.596458,0.776474,0.663996,0.600520,7.96e-05
31,0.588067,0.802382,0.669367,0.590934,7.83e-05
32,0.568196,0.793446,0.691902,0.594854,7.70e-05
33,0.561051,0.835562,0.685947,0.601031,7.57e-05
34,0.532766,0.813566,0.698711,0.604273,7.43e-05
35,0.542359,0.782928,0.697847,0.603549,7.30e-05
36,0.516548,0.796174,0.710109,0.599698,7.16e-05
37,0.526146,0.781501,0.714907,0.585362,7.02e-05
38,0.516701,0.802554,0.709607,0.599062,6.87e-05
39,0.486948,0.833812,0.726977,0.599842,6.73e-05
40,0.503650,0.854498,0.720698,0.603539,6.58e-05
41,0.504586,0.823095,0.708699,0.588626,6.43e-05
42,0.465696,0.823205,0.731949,0.610445,6.28e-05
43,0.465365,0.809735,0.735144,0.606408,6.13e-05
44,0.454431,0.794705,0.748662,0.585593,5.98e-05
45,0.488706,0.937219,0.722546,0.603653,5.82e-05
46,0.469652,0.816981,0.737586,0.609094,5.67e-05
47,0.445672,0.848644,0.744065,0.604484,5.52e-05
48,0.444674,0.879254,0.743545,0.602559,5.36e-05
49,0.429382,0.856936,0.755681,0.602283,5.21e-05
50,0.424943,0.808007,0.753947,0.598240,5.05e-05
51,0.420004,0.832364,0.755588,0.612772,4.89e-05
52,0.413257,0.859727,0.760060,0.603690,4.74e-05
53,0.403656,0.876221,0.767350,0.610019,4.58e-05
54,0.412117,0.906564,0.763359,0.610033,4.43e-05
55,0.416311,0.834878,0.758286,0.598848,4.28e-05
56,0.401882,0.846610,0.773578,0.608278,4.12e-05
57,0.398290,0.854180,0.770265,0.600000,3.97e-05
58,0.388629,0.915582,0.779054,0.607428,3.82e-05
59,0.369620,0.859248,0.783277,0.608181,3.67e-05
60,0.370755,0.843354,0.786013,0.598673,3.52e-05
61,0.377469,0.881123,0.789225,0.604641,3.37e-05
62,0.377844,0.880301,0.784090,0.606994,3.23e-05
63,0.358964,0.964395,0.786875,0.602998,3.08e-05
64,0.368019,0.885595,0.788437,0.611772,2.94e-05
65,0.365111,0.852146,0.792160,0.597262,2.80e-05
66,0.366927,0.890651,0.789648,0.601915,2.67e-05
67,0.362467,0.881983,0.788075,0.604227,2.53e-05
68,0.365428,0.856264,0.785125,0.601877,2.40e-05
69,0.353980,0.873723,0.792768,0.602872,2.27e-05
70,0.344923,0.896515,0.800733,0.605099,2.14e-05
71,0.349450,0.898123,0.795587,0.606051,2.02e-05
72,0.348496,0.893003,0.796800,0.603448,1.89e-05
73,0.361771,0.874033,0.789931,0.604291,1.78e-05
74,0.332236,0.913165,0.805985,0.604147,1.66e-05
75,0.363679,0.914170,0.795856,0.607055,1.55e-05
76,0.340728,0.903002,0.802358,0.602595,1.44e-05
77,0.332983,0.896357,0.807973,0.601694,1.34e-05
78,0.350601,0.913128,0.791927,0.604191,1.24e-05
79,0.333062,0.904882,0.808871,0.602284,1.14e-05
80,0.333111,0.919520,0.803831,0.604310,1.05e-05
81,0.338683,0.926367,0.808060,0.606020,9.56e-06
82,0.329165,0.930222,0.809511,0.605687,8.71e-06
83,0.345375,0.904860,0.800337,0.602653,7.89e-06
84,0.335276,0.913953,0.807685,0.604274,7.12e-06
85,0.346590,0.916999,0.796958,0.603927,6.40e-06
86,0.330398,0.920396,0.811809,0.602845,5.71e-06
87,0.323562,0.901224,0.807653,0.600880,5.07e-06
88,0.332819,0.926829,0.809306,0.603024,4.48e-06
89,0.341469,0.912503,0.801889,0.602285,3.93e-06
90,0.326436,0.922472,0.810662,0.603110,3.42e-06
91,0.317611,0.918055,0.818896,0.604710,2.97e-06
92,0.320829,0.911210,0.810950,0.601338,2.56e-06
93,0.324106,0.920560,0.811548,0.602694,2.19e-06
94,0.320206,0.912913,0.812879,0.602616,1.88e-06
95,0.330345,0.912694,0.809745,0.600191,1.61e-06
96,0.334896,0.918100,0.801636,0.603794,1.39e-06
97,0.336920,0.928761,0.804705,0.604940,1.22e-06
98,0.317964,0.924386,0.818534,0.602417,1.10e-06
99,0.320522,0.923998,0.813940,0.601575,1.02e-06
100,0.329567,0.915555,0.804575,0.602214,1.00e-06

test_loss,0.898550
test_iou,0.577438
