chip_stem,reason,ic_frac,otsu_thresh
fisser_0002,ic_block_filter,0.2672,0.4917
fisser_0009,ic_block_filter,0.2580,0.4522
fisser_0010,ic_block_filter,0.3322,0.5240
fisser_0029,ic_block_filter,0.3196,0.4643
fisser_0034,ic_block_filter,0.2789,0.4908
fisser_0043,ic_block_filter,0.1836,0.4698
fisser_0045,ic_block_filter,0.6652,0.6031
fisser_0059,ic_block_filter,0.2257,0.4646
fisser_0066,ic_block_filter,0.5697,0.5535
fisser_0068,ic_block_filter,0.1689,0.0821
fisser_0072,ic_block_filter,0.1998,0.4283
fisser_0074,ic_block_filter,0.2614,0.5001
fisser_0085,ic_block_filter,0.2693,0.4735
fisser_0097,ic_block_filter,0.2450,0.4669
fisser_0099,ic_block_filter,0.2150,0.4115
fisser_0106,ic_block_filter,0.4899,0.5440
fisser_0122,ic_block_filter,0.1652,0.4264
fisser_0123,ic_block_filter,0.6956,0.6412
fisser_0130,ic_block_filter,0.2658,0.4513
fisser_0143,ic_block_filter,0.2473,0.4704
fisser_0164,ic_block_filter,0.7035,0.6307
fisser_0165,ic_block_filter,0.1773,0.3960
fisser_0169,ic_block_filter,0.2925,0.4771
fisser_0170,ic_block_filter,0.2424,0.4991
fisser_0175,ic_block_filter,0.2337,0.4671
fisser_0180,ic_block_filter,0.1695,0.3943
fisser_0190,ic_block_filter,0.1890,0.4041
fisser_0192,ic_block_filter,0.2038,0.4908
fisser_0198,ic_block_filter,0.1620,0.4226
fisser_0203,ic_block_filter,0.2651,0.4641
fisser_0209,ic_block_filter,0.2524,0.5021
fisser_0211,ic_block_filter,0.2258,0.4186
fisser_0227,ic_block_filter,0.2141,0.4817
fisser_0228,ic_block_filter,0.3108,0.4312
fisser_0231,ic_block_filter,0.2691,0.4875
fisser_0240,ic_block_filter,0.1591,0.4616
fisser_0246,ic_block_filter,0.3186,0.4705
fisser_0248,ic_block_filter,0.1543,0.4118
fisser_0249,ic_block_filter,0.1907,0.4420
fisser_0251,ic_block_filter,0.1877,0.4253
fisser_0259,ic_block_filter,0.5695,0.5825
fisser_0267,ic_block_filter,0.1725,0.4030
fisser_0270,ic_block_filter,0.1526,0.4227
fisser_0284,ic_block_filter,0.1506,0.3620
fisser_0293,ic_block_filter,0.3091,0.5179
fisser_0300,ic_block_filter,0.2823,0.4865
fisser_0313,ic_block_filter,0.3104,0.4896
fisser_0314,ic_block_filter,0.3349,0.4865
fisser_0320,ic_block_filter,0.2257,0.4129
fisser_0324,ic_block_filter,0.2400,0.4806
fisser_0328,ic_block_filter,0.2344,0.4605
fisser_0329,ic_block_filter,0.4250,0.4741
fisser_0331,ic_block_filter,0.1655,0.4219
fisser_0336,ic_block_filter,0.1923,0.3986
fisser_0345,ic_block_filter,0.1740,0.4061
fisser_0349,ic_block_filter,0.2411,0.4816
fisser_0352,ic_block_filter,0.2407,0.4779
fisser_0362,ic_block_filter,0.3181,0.4692
fisser_0365,ic_block_filter,0.3379,0.5059
fisser_0372,ic_block_filter,0.2009,0.4101
fisser_0373,ic_block_filter,0.5608,0.5041
fisser_0376,ic_block_filter,0.1814,0.4641
fisser_0378,ic_block_filter,0.2517,0.4332
fisser_0384,ic_block_filter,0.1618,0.4078
