epoch,train_loss,val_loss,train_iou,val_iou,lr
1,1.874586,2.544616,0.193276,0.169959,1.00e-04
2,1.635610,2.417489,0.233602,0.269202,9.99e-05
3,1.516804,2.241490,0.238522,0.317431,9.98e-05
4,1.432346,2.122396,0.244302,0.352070,9.96e-05
5,1.316374,2.102244,0.278713,0.375972,9.94e-05
6,1.284629,2.086889,0.296476,0.381980,9.91e-05
7,1.286330,1.904897,0.295936,0.381599,9.88e-05
8,1.255379,1.770720,0.316299,0.384627,9.84e-05
9,1.189800,1.619263,0.323635,0.372122,9.80e-05
10,1.229466,1.589033,0.309199,0.373493,9.76e-05
11,1.212518,1.638034,0.334066,0.395248,9.71e-05
12,1.163010,1.531299,0.322769,0.383939,9.65e-05
13,1.106803,1.459750,0.372028,0.366327,9.59e-05
14,1.174323,1.454724,0.378745,0.356805,9.53e-05
15,1.139600,1.412561,0.332287,0.362701,9.46e-05
16,1.104652,1.419182,0.350200,0.379969,9.39e-05
17,1.103142,1.452187,0.347569,0.397616,9.31e-05
18,1.122196,1.429965,0.347639,0.403323,9.23e-05
19,1.037196,1.437664,0.404491,0.405080,9.14e-05
20,1.055553,1.397962,0.399736,0.387837,9.05e-05
21,1.068784,1.384740,0.359813,0.375592,8.96e-05
22,1.040196,1.388273,0.405820,0.401053,8.86e-05
23,1.063687,1.360537,0.378195,0.381685,8.76e-05
24,1.088005,1.382678,0.346128,0.431742,8.66e-05
25,0.993162,1.380162,0.457538,0.432583,8.55e-05
26,0.981879,1.351604,0.422247,0.398850,8.44e-05
27,0.984764,1.362240,0.419588,0.416475,8.32e-05
28,0.958175,1.353845,0.462858,0.420534,8.21e-05
29,1.031345,1.332688,0.434754,0.411228,8.08e-05
30,0.955338,1.345095,0.448973,0.404698,7.96e-05
31,0.947211,1.366705,0.423601,0.424199,7.83e-05
32,0.922145,1.389876,0.462054,0.463225,7.70e-05
33,0.937647,1.404722,0.464742,0.477707,7.57e-05
34,0.974250,1.402906,0.489245,0.469693,7.43e-05
35,0.914876,1.383523,0.454709,0.454680,7.30e-05
36,1.046685,1.338735,0.372659,0.421776,7.16e-05
37,0.945489,1.367049,0.412193,0.451853,7.02e-05
38,0.898212,1.484171,0.498525,0.489380,6.87e-05
39,0.938392,1.362393,0.454790,0.452111,6.73e-05
40,0.950143,1.338955,0.422249,0.444646,6.58e-05
41,0.893161,1.374865,0.465893,0.464510,6.43e-05
42,0.846485,1.427637,0.503284,0.486359,6.28e-05
43,0.902283,1.347927,0.457406,0.457763,6.13e-05
44,0.897590,1.357306,0.497734,0.463255,5.98e-05
45,0.876349,1.348676,0.479642,0.457166,5.82e-05
46,0.817158,1.372147,0.528278,0.466980,5.67e-05
47,0.905780,1.344698,0.463929,0.453253,5.52e-05
48,0.882183,1.415045,0.470738,0.479874,5.36e-05
49,0.933052,1.328478,0.439105,0.451505,5.21e-05
50,0.789739,1.361881,0.551701,0.477661,5.05e-05
51,0.834386,1.397103,0.519178,0.478124,4.89e-05
52,0.807514,1.414363,0.540385,0.488364,4.74e-05
53,0.948196,1.343923,0.438328,0.466610,4.58e-05
54,0.857415,1.393778,0.489676,0.481626,4.43e-05
55,0.767826,1.516295,0.555615,0.494693,4.28e-05
56,0.783638,1.462537,0.541735,0.488982,4.12e-05
57,0.803351,1.351834,0.535677,0.464093,3.97e-05
58,0.794489,1.334721,0.533206,0.464058,3.82e-05
59,0.776797,1.365759,0.552614,0.480238,3.67e-05
60,0.797165,1.362825,0.532564,0.478418,3.52e-05
61,0.873396,1.456657,0.540671,0.490259,3.37e-05
62,0.779904,1.355059,0.548042,0.464554,3.23e-05
63,0.821068,1.309136,0.509091,0.454072,3.08e-05
64,0.747977,1.325881,0.558155,0.467439,2.94e-05
65,0.762499,1.430948,0.551786,0.493301,2.80e-05
66,0.798864,1.552180,0.545391,0.502823,2.67e-05
67,0.752957,1.485797,0.585118,0.494579,2.53e-05
68,0.770282,1.423393,0.554770,0.483232,2.40e-05
69,0.810921,1.442074,0.566776,0.490398,2.27e-05
70,0.751279,1.377769,0.593032,0.481892,2.14e-05
71,0.724074,1.364337,0.577857,0.480311,2.02e-05
72,0.781165,1.402100,0.526348,0.490887,1.89e-05
73,0.731445,1.453170,0.589562,0.499845,1.78e-05
74,0.705637,1.480217,0.593020,0.501071,1.66e-05
75,0.715480,1.487000,0.590990,0.502017,1.55e-05
76,0.836559,1.452566,0.538419,0.494272,1.44e-05
77,0.750210,1.455891,0.570738,0.490943,1.34e-05
78,0.748200,1.475266,0.568415,0.494137,1.24e-05
79,0.754092,1.469707,0.565314,0.495602,1.14e-05
80,0.720608,1.428138,0.615335,0.490163,1.05e-05
81,0.807155,1.398172,0.510306,0.483430,9.56e-06
82,0.719202,1.427559,0.572531,0.489588,8.71e-06
83,0.748290,1.434945,0.563060,0.490070,7.89e-06
84,0.759227,1.464953,0.595133,0.496287,7.12e-06
85,0.740200,1.451636,0.569279,0.495474,6.40e-06
86,0.756536,1.450725,0.602610,0.495285,5.71e-06
87,0.712662,1.430405,0.597255,0.491698,5.07e-06
88,0.787409,1.426193,0.528259,0.490341,4.48e-06
89,0.729210,1.434686,0.573469,0.491853,3.93e-06
90,0.730654,1.431695,0.606152,0.492701,3.42e-06
91,0.776150,1.421802,0.535042,0.489978,2.97e-06
92,0.735046,1.438943,0.582296,0.491797,2.56e-06
93,0.698427,1.448700,0.597758,0.491776,2.19e-06
94,0.612827,1.412993,0.455207,0.482603,1.88e-06
95,0.723400,1.424465,0.583453,0.487087,1.61e-06
96,0.741401,1.432875,0.577293,0.491460,1.39e-06
97,0.718489,1.433631,0.572923,0.491882,1.22e-06
98,0.737141,1.443072,0.597791,0.493679,1.10e-06
99,0.737064,1.455409,0.609656,0.494354,1.02e-06
100,0.750251,1.446882,0.564071,0.493199,1.00e-06

test_loss,1.489775
test_iou,0.477305
