chip_stem,reason,ic_frac,otsu_thresh
fisser_0001,ic_block_filter,0.4262,0.4291
fisser_0005,ic_block_filter,0.6193,0.4221
fisser_0006,ic_block_filter,0.5014,0.4333
fisser_0010,ic_block_filter,0.4034,0.4564
fisser_0018,ic_block_filter,0.1829,0.3423
fisser_0019,ic_block_filter,0.2469,0.3247
fisser_0027,ic_block_filter,0.2413,0.3671
fisser_0028,ic_block_filter,0.2969,0.3635
fisser_0035,ic_block_filter,0.3966,0.3500
fisser_0040,ic_block_filter,0.1854,0.2417
fisser_0051,ic_block_filter,0.3423,0.4017
fisser_0058,ic_block_filter,0.6954,0.4329
fisser_0076,ic_block_filter,0.6060,0.5628
fisser_0086,ic_block_filter,0.2639,0.3142
fisser_0089,ic_block_filter,0.1853,0.3616
fisser_0099,ic_block_filter,0.4743,0.4491
fisser_0108,ic_block_filter,0.3980,0.4516
fisser_0114,ic_block_filter,0.3719,0.4040
fisser_0116,ic_block_filter,0.3538,0.4363
fisser_0119,ic_block_filter,0.5630,0.5645
fisser_0120,ic_block_filter,0.3148,0.3257
fisser_0122,ic_block_filter,0.4095,0.3403
fisser_0123,ic_block_filter,0.5660,0.5352
fisser_0131,ic_block_filter,0.5035,0.3626
fisser_0141,ic_block_filter,0.3783,0.3514
fisser_0151,ic_block_filter,0.4900,0.4049
fisser_0152,ic_block_filter,0.4084,0.4532
fisser_0154,ic_block_filter,0.2572,0.2409
fisser_0170,ic_block_filter,0.3572,0.3818
fisser_0185,ic_block_filter,0.5193,0.3965
fisser_0188,ic_block_filter,0.5678,0.3842
fisser_0189,ic_block_filter,0.3338,0.3917
fisser_0198,ic_block_filter,0.4507,0.3897
fisser_0199,ic_block_filter,0.6104,0.5278
fisser_0204,ic_block_filter,0.9422,0.1382
fisser_0208,ic_block_filter,0.4956,0.3966
fisser_0214,ic_block_filter,0.5104,0.4446
fisser_0215,ic_block_filter,0.3902,0.4427
fisser_0225,ic_block_filter,0.1613,0.3306
fisser_0232,ic_block_filter,0.3412,0.3954
fisser_0245,ic_block_filter,0.2261,0.2910
fisser_0246,ic_block_filter,0.5524,0.4234
fisser_0249,ic_block_filter,0.3154,0.3461
fisser_0260,ic_block_filter,0.4908,0.4521
fisser_0262,ic_block_filter,0.2289,0.3320
fisser_0268,ic_block_filter,0.2802,0.3986
fisser_0269,ic_block_filter,0.4627,0.4169
fisser_0272,ic_block_filter,0.3471,0.4162
fisser_0293,ic_block_filter,0.3257,0.4370
fisser_0301,ic_block_filter,0.5578,0.3727
fisser_0302,ic_block_filter,0.6658,0.3869
fisser_0319,ic_block_filter,0.1615,0.3151
fisser_0320,ic_block_filter,0.5022,0.4619
fisser_0326,ic_block_filter,0.4251,0.4559
fisser_0346,ic_block_filter,0.4290,0.3895
fisser_0348,ic_block_filter,0.1637,0.3229
fisser_0352,ic_block_filter,0.3962,0.4249
fisser_0354,ic_block_filter,0.1505,0.3273
fisser_0357,ic_block_filter,0.2337,0.2376
fisser_0364,ic_block_filter,0.6051,0.4686
fisser_0368,ic_block_filter,0.1743,0.3122
fisser_0375,ic_block_filter,0.5012,0.4824
fisser_0386,ic_block_filter,0.4400,0.3572
fisser_0396,ic_block_filter,0.2028,0.3205
