epoch,train_loss,val_loss,train_iou,val_iou,lr
1,1.509941,1.744486,0.344377,0.260566,1.00e-04
2,1.129199,1.652722,0.465829,0.217199,9.99e-05
3,1.030386,1.774653,0.495258,0.213176,9.98e-05
4,0.943350,1.910168,0.530132,0.210363,9.96e-05
5,0.893181,1.901803,0.562616,0.213277,9.94e-05
6,0.857289,1.907676,0.576387,0.213837,9.91e-05
7,0.848649,1.957080,0.563137,0.218754,9.88e-05
8,0.795262,2.080294,0.603023,0.215333,9.84e-05
9,0.806885,2.018539,0.581192,0.224396,9.80e-05
10,0.742494,2.157721,0.627601,0.211216,9.76e-05
11,0.736436,2.051540,0.644249,0.219570,9.71e-05
12,0.674310,1.994798,0.662506,0.224158,9.65e-05
13,0.660707,2.090036,0.671598,0.227063,9.59e-05
14,0.647247,1.906387,0.694138,0.215901,9.53e-05
15,0.632694,2.011026,0.674586,0.234669,9.46e-05
16,0.586695,1.893763,0.719117,0.225789,9.39e-05
17,0.554813,1.949313,0.741711,0.222061,9.31e-05
18,0.571793,1.800250,0.712689,0.236687,9.23e-05
19,0.551085,2.000353,0.708702,0.233760,9.14e-05
20,0.539169,2.126000,0.728449,0.225478,9.05e-05
21,0.502610,1.820947,0.750887,0.229642,8.96e-05
22,0.514406,1.910903,0.739107,0.237624,8.86e-05
23,0.463291,2.000096,0.762043,0.229462,8.76e-05
24,0.510438,1.861024,0.766824,0.240350,8.66e-05
25,0.457564,1.837559,0.750555,0.244581,8.55e-05
26,0.439718,1.872786,0.776566,0.239816,8.44e-05
27,0.395605,1.884125,0.800415,0.240918,8.32e-05
28,0.405451,1.992746,0.786719,0.239269,8.21e-05
29,0.398424,1.921364,0.815708,0.235754,8.08e-05
30,0.388648,1.922615,0.783036,0.242036,7.96e-05
31,0.370596,1.947835,0.813173,0.231124,7.83e-05
32,0.366943,1.786806,0.818239,0.246102,7.70e-05
33,0.352738,1.775266,0.810208,0.254482,7.57e-05
34,0.367191,1.879308,0.803263,0.253998,7.43e-05
35,0.373555,2.336884,0.802659,0.239960,7.30e-05
36,0.351816,1.965106,0.836570,0.242725,7.16e-05
37,0.324496,1.963240,0.829640,0.241707,7.02e-05
38,0.338044,2.025873,0.810364,0.239901,6.87e-05
39,0.331775,1.769389,0.833938,0.246801,6.73e-05
40,0.335596,2.028693,0.796485,0.250649,6.58e-05
41,0.331606,1.755907,0.820990,0.241489,6.43e-05
42,0.297589,1.981656,0.840750,0.242555,6.28e-05
43,0.284257,1.962464,0.852319,0.241086,6.13e-05
44,0.292117,1.940045,0.834833,0.249023,5.98e-05
45,0.309772,2.068673,0.834242,0.243671,5.82e-05
46,0.269143,1.816066,0.854100,0.255769,5.67e-05
47,0.275465,2.224246,0.853609,0.238836,5.52e-05
48,0.278947,2.097611,0.851252,0.239475,5.36e-05
49,0.266329,1.904698,0.856127,0.249380,5.21e-05
50,0.273857,1.878725,0.852519,0.252295,5.05e-05
51,0.279373,2.126913,0.836094,0.245631,4.89e-05
52,0.257072,2.001540,0.863426,0.245856,4.74e-05
53,0.251279,1.848113,0.864607,0.254675,4.58e-05
54,0.259412,2.161150,0.857356,0.240193,4.43e-05
55,0.241238,2.025549,0.868544,0.248536,4.28e-05
56,0.242783,2.038532,0.866836,0.247940,4.12e-05
57,0.229114,1.922773,0.879329,0.252887,3.97e-05
58,0.228052,2.071588,0.869497,0.250284,3.82e-05
59,0.233389,2.053559,0.877149,0.246792,3.67e-05
60,0.234289,1.976263,0.878109,0.253593,3.52e-05
61,0.227182,2.083061,0.864121,0.247777,3.37e-05
62,0.244073,1.987441,0.864486,0.250612,3.23e-05
63,0.255416,2.195807,0.846242,0.247298,3.08e-05
64,0.226702,2.012825,0.882622,0.250491,2.94e-05
65,0.220879,2.111891,0.880327,0.248646,2.80e-05
66,0.215802,2.043893,0.880596,0.251437,2.67e-05
67,0.222445,2.107814,0.877808,0.247863,2.53e-05
68,0.218748,2.039705,0.881526,0.251870,2.40e-05
69,0.230333,2.090541,0.881016,0.249857,2.27e-05
70,0.215120,2.146536,0.878534,0.248624,2.14e-05
71,0.218228,2.044175,0.889920,0.249765,2.02e-05
72,0.233294,2.173305,0.872387,0.248445,1.89e-05
73,0.211087,2.171785,0.888778,0.248479,1.78e-05
74,0.208857,2.186515,0.883703,0.247708,1.66e-05
75,0.208508,2.146887,0.894884,0.248763,1.55e-05
76,0.204809,2.101711,0.891016,0.250553,1.44e-05
77,0.204110,2.154084,0.887434,0.250032,1.34e-05
78,0.207880,2.195435,0.893027,0.247667,1.24e-05
79,0.206306,2.073561,0.889141,0.251184,1.14e-05
80,0.212661,2.160444,0.876514,0.250502,1.05e-05
81,0.209365,2.122374,0.888300,0.250310,9.56e-06
82,0.212350,2.126111,0.888219,0.250043,8.71e-06
83,0.202477,2.133578,0.890365,0.247339,7.89e-06
84,0.218011,2.130828,0.887541,0.249033,7.12e-06
85,0.200145,2.100674,0.893518,0.250658,6.40e-06
86,0.206362,2.112266,0.886574,0.250367,5.71e-06
87,0.193113,2.112997,0.897896,0.251698,5.07e-06
88,0.210116,2.142888,0.891834,0.250259,4.48e-06
89,0.197132,2.154878,0.894834,0.249165,3.93e-06
90,0.196078,2.150665,0.888090,0.249557,3.42e-06
91,0.201518,2.136297,0.892500,0.250411,2.97e-06
92,0.199801,2.162308,0.892814,0.249864,2.56e-06
93,0.192595,2.117004,0.896446,0.251596,2.19e-06
94,0.202593,2.111883,0.888004,0.250959,1.88e-06
95,0.201735,2.144710,0.890052,0.249401,1.61e-06
96,0.214825,2.142885,0.885682,0.250971,1.39e-06
97,0.201793,2.094891,0.893719,0.251270,1.22e-06
98,0.199795,2.106102,0.894137,0.251099,1.10e-06
99,0.214281,2.128431,0.885554,0.249756,1.02e-06
100,0.223907,2.153289,0.876825,0.249849,1.00e-06

test_loss,1.646285
test_iou,0.343845
