epoch,train_loss,val_loss,train_iou,val_iou,lr
1,1.911822,2.691940,0.178237,0.118696,1.00e-04
2,1.639044,2.687186,0.211595,0.161362,9.99e-05
3,1.477006,2.575840,0.233790,0.218705,9.98e-05
4,1.379853,2.378385,0.251149,0.251369,9.96e-05
5,1.310403,2.185818,0.259288,0.269109,9.94e-05
6,1.306703,1.991172,0.246551,0.250911,9.91e-05
7,1.222355,1.902362,0.309695,0.235186,9.88e-05
8,1.182212,1.864856,0.324281,0.223023,9.84e-05
9,1.241488,1.884404,0.270163,0.204305,9.80e-05
10,1.158606,1.921040,0.305875,0.201811,9.76e-05
11,1.140724,1.975619,0.320023,0.198845,9.71e-05
12,1.116093,2.029193,0.352025,0.197965,9.65e-05
13,1.119502,2.145832,0.343805,0.188443,9.59e-05
14,1.123897,2.151742,0.345454,0.190407,9.53e-05
15,1.093374,2.144419,0.372390,0.195943,9.46e-05
16,1.048984,2.132806,0.392406,0.199373,9.39e-05
17,1.041657,2.091618,0.399245,0.201511,9.31e-05
18,1.035568,2.096716,0.408736,0.202756,9.23e-05
19,1.026377,2.131679,0.418202,0.201502,9.14e-05
20,1.003905,2.158807,0.435574,0.204144,9.05e-05
21,1.075152,2.177979,0.393429,0.200539,8.96e-05
22,0.991918,2.141036,0.450557,0.203571,8.86e-05
23,0.998117,2.213891,0.428244,0.201708,8.76e-05
24,1.002587,2.206263,0.430232,0.206727,8.66e-05
25,0.951277,2.137955,0.493040,0.210819,8.55e-05
26,0.970525,2.182297,0.478922,0.202009,8.44e-05
27,0.968175,2.253604,0.464965,0.202007,8.32e-05
28,0.928992,2.216208,0.479050,0.210051,8.21e-05
29,0.930312,2.169601,0.489424,0.213620,8.08e-05
30,0.944224,2.214791,0.489709,0.209295,7.96e-05
31,0.911844,2.249376,0.476568,0.206275,7.83e-05
32,0.940283,2.144261,0.512574,0.216210,7.70e-05
33,0.900164,2.152351,0.517714,0.211287,7.57e-05
34,0.904829,2.191544,0.522505,0.208671,7.43e-05
35,0.863272,2.174167,0.531665,0.216376,7.30e-05
36,0.861684,2.255162,0.558162,0.213051,7.16e-05
37,0.848988,2.227756,0.538337,0.213285,7.02e-05
38,0.849186,2.179528,0.539581,0.218083,6.87e-05
39,0.825401,2.186407,0.567326,0.216764,6.73e-05
40,0.826218,2.255514,0.571998,0.213748,6.58e-05
41,0.855221,2.334522,0.508874,0.212850,6.43e-05
42,0.801988,2.239346,0.603086,0.212386,6.28e-05
43,0.813910,2.177490,0.554916,0.209735,6.13e-05
44,0.853461,2.331613,0.505107,0.217316,5.98e-05
45,0.829708,2.243327,0.607365,0.224122,5.82e-05
46,0.780608,2.271678,0.599893,0.217819,5.67e-05
47,0.795068,2.265024,0.565519,0.217534,5.52e-05
48,0.786086,2.190963,0.580725,0.221522,5.36e-05
49,0.784891,2.156535,0.585150,0.223220,5.21e-05
50,0.755488,2.207965,0.603148,0.220683,5.05e-05
51,0.773831,2.258119,0.561144,0.218082,4.89e-05
52,0.779283,2.205792,0.609850,0.225091,4.74e-05
53,0.735419,2.260637,0.640585,0.219748,4.58e-05
54,0.750007,2.234978,0.575724,0.216680,4.43e-05
55,0.796045,2.246238,0.559023,0.222755,4.28e-05
56,0.928983,2.318663,0.535947,0.222534,4.12e-05
57,0.746384,2.223490,0.622210,0.225020,3.97e-05
58,0.710981,2.194562,0.600981,0.224380,3.82e-05
59,0.729372,2.199175,0.619809,0.226004,3.67e-05
60,0.692852,2.273934,0.650860,0.219528,3.52e-05
61,0.780462,2.297122,0.590438,0.218125,3.37e-05
62,0.714584,2.265745,0.631277,0.222736,3.23e-05
63,0.736683,2.354438,0.601631,0.221677,3.08e-05
64,0.686046,2.335628,0.647083,0.222462,2.94e-05
65,0.747389,2.348124,0.597188,0.220596,2.80e-05
66,0.680783,2.319300,0.643898,0.222274,2.67e-05
67,0.699360,2.338606,0.633263,0.221438,2.53e-05
68,0.702487,2.325425,0.640870,0.224362,2.40e-05
69,0.768920,2.366424,0.591653,0.221927,2.27e-05
70,0.674149,2.338858,0.634684,0.221593,2.14e-05
71,0.685751,2.248893,0.642956,0.225351,2.02e-05
72,0.746597,2.298816,0.619090,0.225286,1.89e-05
73,0.672013,2.324904,0.674481,0.223815,1.78e-05
74,0.673588,2.355853,0.640462,0.220617,1.66e-05
75,0.664800,2.347255,0.639877,0.221857,1.55e-05
76,0.721852,2.326987,0.603900,0.224520,1.44e-05
77,0.701991,2.276895,0.651947,0.226843,1.34e-05
78,0.653258,2.292848,0.666936,0.226487,1.24e-05
79,0.737675,2.351786,0.562355,0.225128,1.14e-05
80,0.677231,2.310134,0.670225,0.226671,1.05e-05
81,0.657854,2.314096,0.667035,0.225886,9.56e-06
82,0.703760,2.321280,0.644938,0.225758,8.71e-06
83,0.646073,2.336898,0.668209,0.224662,7.89e-06
84,0.652794,2.325416,0.667876,0.224803,7.12e-06
85,0.679760,2.305011,0.655456,0.224851,6.40e-06
86,0.683171,2.320810,0.635125,0.224383,5.71e-06
87,0.704968,2.354451,0.620943,0.223982,5.07e-06
88,0.676786,2.370084,0.647126,0.223694,4.48e-06
89,0.662423,2.378330,0.654230,0.223860,3.93e-06
90,0.677137,2.397384,0.643907,0.223881,3.42e-06
91,0.667283,2.365799,0.662243,0.224252,2.97e-06
92,0.665074,2.351902,0.659048,0.224968,2.56e-06
93,0.713245,2.376517,0.662422,0.224522,2.19e-06
94,0.678527,2.386295,0.635461,0.223731,1.88e-06
95,0.635631,2.356148,0.679975,0.224560,1.61e-06
96,0.709586,2.370055,0.631402,0.224489,1.39e-06
97,0.652507,2.348125,0.669848,0.224889,1.22e-06
98,0.698671,2.341925,0.644160,0.224633,1.10e-06
99,0.642125,2.343435,0.661879,0.224261,1.02e-06
100,0.663764,2.356706,0.650566,0.224013,1.00e-06

test_loss,2.049556
test_iou,0.335712
