chip_stem,reason,ic_frac,otsu_thresh
fisser_0001,ic_block_filter,0.4558,0.4930
fisser_0005,ic_block_filter,0.4824,0.4370
fisser_0006,ic_block_filter,0.5492,0.5212
fisser_0010,ic_block_filter,0.4636,0.5488
fisser_0018,ic_block_filter,0.2552,0.3611
fisser_0019,ic_block_filter,0.2754,0.3295
fisser_0027,ic_block_filter,0.2559,0.3706
fisser_0028,ic_block_filter,0.3473,0.3864
fisser_0035,ic_block_filter,0.4826,0.4115
fisser_0051,ic_block_filter,0.4061,0.4677
fisser_0058,ic_block_filter,0.7556,0.4922
fisser_0076,ic_block_filter,0.5876,0.6112
fisser_0086,ic_block_filter,0.3647,0.3670
fisser_0089,ic_block_filter,0.2572,0.3801
fisser_0099,ic_block_filter,0.4782,0.4663
fisser_0108,ic_block_filter,0.4390,0.5393
fisser_0114,ic_block_filter,0.5020,0.5263
fisser_0116,ic_block_filter,0.3841,0.5095
fisser_0119,ic_block_filter,0.5995,0.6381
fisser_0120,ic_block_filter,0.3213,0.3367
fisser_0122,ic_block_filter,0.4251,0.3938
fisser_0123,ic_block_filter,0.5034,0.5509
fisser_0131,ic_block_filter,0.5727,0.4196
fisser_0141,ic_block_filter,0.4310,0.3978
fisser_0151,ic_block_filter,0.5586,0.4525
fisser_0152,ic_block_filter,0.5760,0.5838
fisser_0154,ic_block_filter,0.1834,0.2621
fisser_0170,ic_block_filter,0.3691,0.4603
fisser_0185,ic_block_filter,0.5017,0.4423
fisser_0188,ic_block_filter,0.5117,0.4131
fisser_0189,ic_block_filter,0.3615,0.4757
fisser_0198,ic_block_filter,0.4647,0.4139
fisser_0199,ic_block_filter,0.5282,0.5731
fisser_0208,ic_block_filter,0.5138,0.4591
fisser_0214,ic_block_filter,0.5578,0.5014
fisser_0215,ic_block_filter,0.4797,0.5556
fisser_0225,ic_block_filter,0.1720,0.3524
fisser_0232,ic_block_filter,0.3504,0.4657
fisser_0245,ic_block_filter,0.1883,0.3076
fisser_0246,ic_block_filter,0.4361,0.4240
fisser_0249,ic_block_filter,0.3195,0.4252
fisser_0260,ic_block_filter,0.4882,0.5033
fisser_0262,ic_block_filter,0.2235,0.3740
fisser_0268,ic_block_filter,0.2940,0.4410
fisser_0269,ic_block_filter,0.5205,0.4855
fisser_0272,ic_block_filter,0.4385,0.4741
fisser_0293,ic_block_filter,0.3683,0.4959
fisser_0301,ic_block_filter,0.5098,0.4099
fisser_0302,ic_block_filter,0.6585,0.4216
fisser_0319,ic_block_filter,0.1544,0.3243
fisser_0320,ic_block_filter,0.4984,0.4900
fisser_0326,ic_block_filter,0.5577,0.5789
fisser_0346,ic_block_filter,0.3848,0.4279
fisser_0348,ic_block_filter,0.1622,0.3319
fisser_0352,ic_block_filter,0.4447,0.4982
fisser_0357,ic_block_filter,0.1855,0.2668
fisser_0364,ic_block_filter,0.5140,0.4526
fisser_0368,ic_block_filter,0.2351,0.3288
fisser_0375,ic_block_filter,0.3763,0.4567
fisser_0386,ic_block_filter,0.4985,0.4306
fisser_0396,ic_block_filter,0.1939,0.3613
