chip_stem,reason,ic_frac,otsu_thresh
fisser_0001,ic_block_filter,0.3035,0.4607
fisser_0005,ic_block_filter,0.6844,0.4629
fisser_0006,ic_block_filter,0.7698,0.5188
fisser_0010,ic_block_filter,0.4808,0.4993
fisser_0035,ic_block_filter,0.2889,0.4644
fisser_0051,ic_block_filter,0.4606,0.4682
fisser_0058,ic_block_filter,0.8077,0.4574
fisser_0076,ic_block_filter,0.9629,0.8459
fisser_0099,ic_block_filter,0.4404,0.5425
fisser_0108,ic_block_filter,0.4574,0.4953
fisser_0114,ic_block_filter,0.4454,0.4836
fisser_0116,ic_block_filter,0.3418,0.4796
fisser_0119,ic_block_filter,0.9960,0.5430
fisser_0120,ic_block_filter,0.4509,0.2988
fisser_0122,ic_block_filter,0.2796,0.4603
fisser_0123,ic_block_filter,0.9970,0.5558
fisser_0131,ic_block_filter,0.4589,0.4372
fisser_0141,ic_block_filter,0.3414,0.4491
fisser_0151,ic_block_filter,0.6025,0.4729
fisser_0152,ic_block_filter,0.6194,0.5346
fisser_0170,ic_block_filter,0.5036,0.5031
fisser_0185,ic_block_filter,0.5160,0.4489
fisser_0188,ic_block_filter,0.5628,0.4071
fisser_0189,ic_block_filter,0.2646,0.4644
fisser_0198,ic_block_filter,0.3662,0.3789
fisser_0199,ic_block_filter,0.9258,0.6170
fisser_0208,ic_block_filter,0.6330,0.4918
fisser_0214,ic_block_filter,0.5769,0.5436
fisser_0215,ic_block_filter,0.5880,0.5190
fisser_0232,ic_block_filter,0.3062,0.4717
fisser_0246,ic_block_filter,0.4321,0.5761
fisser_0249,ic_block_filter,0.2982,0.4225
fisser_0260,ic_block_filter,0.3739,0.4764
fisser_0268,ic_block_filter,0.3685,0.4450
fisser_0269,ic_block_filter,0.5853,0.5156
fisser_0272,ic_block_filter,0.4354,0.4877
fisser_0293,ic_block_filter,0.3111,0.4834
fisser_0301,ic_block_filter,0.6305,0.4231
fisser_0302,ic_block_filter,0.7105,0.4743
fisser_0320,ic_block_filter,0.7319,0.6707
fisser_0326,ic_block_filter,0.7683,0.5740
fisser_0346,ic_block_filter,0.2923,0.5335
fisser_0352,ic_block_filter,0.3881,0.4798
fisser_0364,ic_block_filter,0.8504,0.5345
fisser_0375,ic_block_filter,0.7958,0.6995
fisser_0386,ic_block_filter,0.5468,0.4493
