epoch,train_loss,val_loss,train_iou,val_iou,lr
1,1.908886,2.683205,0.178221,0.119578,1.00e-04
2,1.646350,2.667037,0.204404,0.166605,9.99e-05
3,1.486757,2.490880,0.225441,0.213379,9.98e-05
4,1.380179,2.224468,0.242709,0.224820,9.96e-05
5,1.310301,2.055094,0.252645,0.219694,9.94e-05
6,1.310069,1.986125,0.237590,0.204505,9.91e-05
7,1.233466,1.978624,0.301438,0.198924,9.88e-05
8,1.191544,1.990736,0.314787,0.196701,9.84e-05
9,1.250883,2.084640,0.261097,0.194152,9.80e-05
10,1.170616,2.129706,0.301955,0.196093,9.76e-05
11,1.153615,2.194609,0.313667,0.193415,9.71e-05
12,1.136056,2.242780,0.343623,0.192400,9.65e-05
13,1.142124,2.354443,0.332017,0.181906,9.59e-05
14,1.139571,2.355459,0.321661,0.183230,9.53e-05
15,1.112472,2.317798,0.345113,0.189358,9.46e-05
16,1.071308,2.258087,0.367552,0.194020,9.39e-05
17,1.066081,2.211595,0.375535,0.195810,9.31e-05
18,1.063737,2.188883,0.383958,0.196118,9.23e-05
19,1.054347,2.146608,0.380914,0.194770,9.14e-05
20,1.036864,2.246182,0.393601,0.197095,9.05e-05
21,1.107089,2.296735,0.354054,0.196063,8.96e-05
22,1.032462,2.290972,0.421080,0.197803,8.86e-05
23,1.039125,2.324846,0.390242,0.193657,8.76e-05
24,1.046140,2.296836,0.378990,0.196147,8.66e-05
25,0.991733,2.229154,0.422584,0.202224,8.55e-05
26,1.011327,2.195790,0.424823,0.200351,8.44e-05
27,1.014287,2.185581,0.415800,0.198524,8.32e-05
28,0.979988,2.194261,0.423485,0.200197,8.21e-05
29,0.978242,2.220122,0.425139,0.202666,8.08e-05
30,0.993457,2.297159,0.425141,0.202326,7.96e-05
31,0.965389,2.341568,0.423406,0.196980,7.83e-05
32,0.989442,2.334883,0.436142,0.199795,7.70e-05
33,0.956953,2.253367,0.445231,0.202176,7.57e-05
34,0.961742,2.335144,0.448049,0.201985,7.43e-05
35,0.922761,2.316992,0.473627,0.204252,7.30e-05
36,0.922981,2.357332,0.464484,0.199835,7.16e-05
37,0.916951,2.369809,0.457828,0.201074,7.02e-05
38,0.915923,2.360210,0.462308,0.205717,6.87e-05
39,0.891594,2.317273,0.490348,0.207747,6.73e-05
40,0.896105,2.322991,0.506604,0.204372,6.58e-05
41,0.925770,2.407806,0.440136,0.197416,6.43e-05
42,0.874162,2.374651,0.506121,0.198455,6.28e-05
43,0.885955,2.310603,0.475903,0.200116,6.13e-05
44,0.927063,2.371393,0.435902,0.202254,5.98e-05
45,0.898347,2.273606,0.518654,0.208617,5.82e-05
46,0.853525,2.187461,0.518789,0.209274,5.67e-05
47,0.863058,2.199225,0.504303,0.204084,5.52e-05
48,0.862987,2.172572,0.492440,0.205382,5.36e-05
49,0.859519,2.139590,0.496005,0.209745,5.21e-05
50,0.834282,2.146032,0.522484,0.211383,5.05e-05
51,0.851569,2.224698,0.487826,0.207179,4.89e-05
52,0.848212,2.171672,0.526839,0.210149,4.74e-05
53,0.810480,2.156197,0.543875,0.211153,4.58e-05
54,0.831847,2.175718,0.504338,0.209835,4.43e-05
55,0.867276,2.238651,0.483806,0.210418,4.28e-05
56,1.003314,2.247728,0.434363,0.211569,4.12e-05
57,0.833721,2.179790,0.524492,0.213677,3.97e-05
58,0.794137,2.249193,0.517961,0.210678,3.82e-05
59,0.812714,2.250143,0.530605,0.213635,3.67e-05
60,0.779802,2.220022,0.562402,0.212937,3.52e-05
61,0.867909,2.226140,0.508127,0.211578,3.37e-05
62,0.806315,2.198448,0.548949,0.212718,3.23e-05
63,0.824405,2.292400,0.497188,0.211125,3.08e-05
64,0.776439,2.292843,0.553862,0.212821,2.94e-05
65,0.835540,2.351130,0.508582,0.210496,2.80e-05
66,0.771049,2.306158,0.555503,0.211885,2.67e-05
67,0.794898,2.324649,0.532993,0.209717,2.53e-05
68,0.796203,2.337660,0.542457,0.211910,2.40e-05
69,0.859200,2.371668,0.480360,0.211596,2.27e-05
70,0.768645,2.303263,0.548385,0.213728,2.14e-05
71,0.774997,2.227166,0.562792,0.215738,2.02e-05
72,0.835762,2.309769,0.524585,0.213911,1.89e-05
73,0.768750,2.302161,0.567226,0.213066,1.78e-05
74,0.767321,2.304630,0.553861,0.211083,1.66e-05
75,0.759889,2.289839,0.551706,0.211314,1.55e-05
76,0.820897,2.307292,0.499714,0.211672,1.44e-05
77,0.796181,2.250493,0.547613,0.214234,1.34e-05
78,0.747969,2.255314,0.562105,0.214706,1.24e-05
79,0.831303,2.335556,0.473502,0.213422,1.14e-05
80,0.773908,2.268168,0.568064,0.215171,1.05e-05
81,0.755082,2.258436,0.570718,0.214171,9.56e-06
82,0.799755,2.270848,0.539540,0.213741,8.71e-06
83,0.745053,2.284109,0.577297,0.213315,7.89e-06
84,0.749537,2.287360,0.566336,0.213760,7.12e-06
85,0.775117,2.270690,0.554546,0.214417,6.40e-06
86,0.783717,2.298835,0.532180,0.213419,5.71e-06
87,0.798312,2.336450,0.522938,0.212834,5.07e-06
88,0.771986,2.325582,0.548225,0.212593,4.48e-06
89,0.760402,2.325219,0.551386,0.212486,3.93e-06
90,0.771371,2.337959,0.539345,0.212752,3.42e-06
91,0.762728,2.306732,0.569536,0.213527,2.97e-06
92,0.765344,2.295199,0.553571,0.214123,2.56e-06
93,0.810226,2.328772,0.551435,0.213109,2.19e-06
94,0.776416,2.336873,0.533965,0.212612,1.88e-06
95,0.733342,2.287435,0.579805,0.213989,1.61e-06
96,0.809925,2.305428,0.520429,0.213664,1.39e-06
97,0.747056,2.268109,0.570654,0.214277,1.22e-06
98,0.799818,2.272106,0.535190,0.214032,1.10e-06
99,0.737746,2.271678,0.566718,0.213736,1.02e-06
100,0.758595,2.284228,0.547337,0.213571,1.00e-06

test_loss,2.132637
test_iou,0.274137
