chip_stem,reason,ic_frac
fisser_0001,ic_block_filter,0.2905
fisser_0005,ic_block_filter,0.6826
fisser_0006,ic_block_filter,0.6694
fisser_0010,ic_block_filter,0.2221
fisser_0019,ic_block_filter,0.5122
fisser_0027,ic_block_filter,0.2080
fisser_0028,ic_block_filter,0.1649
fisser_0051,ic_block_filter,0.3094
fisser_0058,ic_block_filter,0.7837
fisser_0076,ic_block_filter,0.9974
fisser_0086,ic_block_filter,0.6029
fisser_0099,ic_block_filter,0.9895
fisser_0108,ic_block_filter,0.2153
fisser_0114,ic_block_filter,0.2221
fisser_0116,ic_block_filter,0.1735
fisser_0119,ic_block_filter,0.9958
fisser_0120,ic_block_filter,0.5460
fisser_0122,ic_block_filter,0.3605
fisser_0123,ic_block_filter,0.9964
fisser_0131,ic_block_filter,0.7323
fisser_0141,ic_block_filter,0.1967
fisser_0151,ic_block_filter,0.4976
fisser_0152,ic_block_filter,0.2830
fisser_0170,ic_block_filter,0.2442
fisser_0185,ic_block_filter,0.5195
fisser_0188,ic_block_filter,0.8313
fisser_0198,ic_block_filter,0.3992
fisser_0199,ic_block_filter,0.9165
fisser_0208,ic_block_filter,0.4826
fisser_0214,ic_block_filter,0.7013
fisser_0215,ic_block_filter,0.2807
fisser_0246,ic_block_filter,0.9883
fisser_0249,ic_block_filter,0.2063
fisser_0260,ic_block_filter,0.4174
fisser_0268,ic_block_filter,0.3539
fisser_0269,ic_block_filter,0.6503
fisser_0272,ic_block_filter,0.2056
fisser_0293,ic_block_filter,0.1812
fisser_0301,ic_block_filter,0.6302
fisser_0302,ic_block_filter,0.7153
fisser_0319,ic_block_filter,0.3793
fisser_0320,ic_block_filter,0.9816
fisser_0326,ic_block_filter,0.4785
fisser_0346,ic_block_filter,0.9918
fisser_0348,ic_block_filter,0.4227
fisser_0352,ic_block_filter,0.2218
fisser_0364,ic_block_filter,0.9035
fisser_0375,ic_block_filter,0.9854
fisser_0386,ic_block_filter,0.5212
