epoch,train_loss,val_loss,train_iou,val_iou,lr
1,1.494740,1.730252,0.314075,0.237957,1.00e-04
2,1.142434,1.751608,0.421929,0.212925,9.99e-05
3,1.051692,1.827067,0.467933,0.208258,9.98e-05
4,0.975589,1.984950,0.486932,0.211468,9.96e-05
5,0.946222,2.075737,0.503037,0.205748,9.94e-05
6,0.887536,1.999523,0.550260,0.213355,9.91e-05
7,0.827547,2.072131,0.585629,0.212948,9.88e-05
8,0.831928,1.891200,0.565780,0.214626,9.84e-05
9,0.772059,2.081839,0.605441,0.202478,9.80e-05
10,0.774044,1.964693,0.619990,0.220460,9.76e-05
11,0.724919,2.129729,0.599818,0.216477,9.71e-05
12,0.736142,2.357406,0.596567,0.205784,9.65e-05
13,0.709754,1.637150,0.644342,0.220439,9.59e-05
14,0.640194,2.040818,0.659155,0.225616,9.53e-05
15,0.635944,2.001591,0.657976,0.220124,9.46e-05
16,0.609270,1.930515,0.701941,0.218120,9.39e-05
17,0.625351,1.919787,0.653702,0.214572,9.31e-05
18,0.569543,1.943629,0.689106,0.229561,9.23e-05
19,0.567849,1.734577,0.695682,0.238711,9.14e-05
20,0.570547,2.236014,0.698553,0.223055,9.05e-05
21,0.521411,1.905434,0.710840,0.227563,8.96e-05
22,0.575838,1.893174,0.716315,0.235153,8.86e-05
23,0.531800,2.319170,0.705007,0.214512,8.76e-05
24,0.509092,2.131197,0.719801,0.222490,8.66e-05
25,0.514309,2.181553,0.660574,0.232796,8.55e-05
26,0.456402,1.724728,0.773003,0.228307,8.44e-05
27,0.481302,1.900616,0.697789,0.232951,8.32e-05
28,0.464972,1.632326,0.737910,0.238473,8.21e-05
29,0.469332,1.635380,0.711741,0.255122,8.08e-05
30,0.448237,1.690939,0.733299,0.241151,7.96e-05
31,0.420492,1.963899,0.766441,0.225984,7.83e-05
32,0.442202,1.735881,0.750930,0.232725,7.70e-05
33,0.495910,1.725597,0.716545,0.242747,7.57e-05
34,0.404108,2.263309,0.751697,0.222035,7.43e-05
35,0.440320,2.005117,0.742586,0.224838,7.30e-05
36,0.373298,1.804875,0.769807,0.234422,7.16e-05
37,0.394391,1.871403,0.765035,0.228315,7.02e-05
38,0.370229,1.622883,0.778604,0.242124,6.87e-05
39,0.374020,1.660712,0.784467,0.241770,6.73e-05
40,0.379422,1.600217,0.765177,0.247468,6.58e-05
41,0.379709,2.014304,0.763937,0.225893,6.43e-05
42,0.436072,1.654652,0.783749,0.237917,6.28e-05
43,0.379877,1.809334,0.744680,0.239999,6.13e-05
44,0.362675,1.792890,0.778417,0.232727,5.98e-05
45,0.354903,1.570422,0.780580,0.250965,5.82e-05
46,0.340807,1.745725,0.797086,0.236307,5.67e-05
47,0.376043,1.671252,0.791483,0.244610,5.52e-05
48,0.385534,1.707168,0.712969,0.249308,5.36e-05
49,0.333589,1.423414,0.809857,0.270426,5.21e-05
50,0.357141,1.507185,0.779663,0.258928,5.05e-05
51,0.383977,1.516730,0.793786,0.259405,4.89e-05
52,0.400317,1.697001,0.751365,0.238002,4.74e-05
53,0.317824,1.647636,0.802266,0.235459,4.58e-05
54,0.311337,1.709667,0.797744,0.236583,4.43e-05
55,0.309999,1.518530,0.821170,0.250560,4.28e-05
56,0.319658,1.526247,0.800631,0.251571,4.12e-05
57,0.375224,1.653168,0.802671,0.242839,3.97e-05
58,0.351920,1.839738,0.757922,0.244827,3.82e-05
59,0.335935,1.691936,0.794738,0.241552,3.67e-05
60,0.303639,1.563409,0.813624,0.255781,3.52e-05
61,0.312495,1.670132,0.793372,0.244616,3.37e-05
62,0.316451,1.984255,0.816931,0.238175,3.23e-05
63,0.337865,1.880835,0.762580,0.246959,3.08e-05
64,0.309348,1.716195,0.818124,0.254154,2.94e-05
65,0.484882,1.668593,0.796898,0.256767,2.80e-05
66,0.309846,1.553942,0.812911,0.259802,2.67e-05
67,0.361886,1.941233,0.797402,0.238657,2.53e-05
68,0.318202,1.677741,0.764236,0.250593,2.40e-05
69,0.290745,1.638812,0.835728,0.253994,2.27e-05
70,0.307503,1.769479,0.794874,0.241916,2.14e-05
71,0.306628,1.745755,0.807596,0.247618,2.02e-05
72,0.353822,1.615188,0.819087,0.250684,1.89e-05
73,0.353508,1.686148,0.764465,0.249998,1.78e-05
74,0.284174,1.721080,0.821261,0.247983,1.66e-05
75,0.278854,1.691814,0.823762,0.247529,1.55e-05
76,0.291728,1.583406,0.816461,0.254462,1.44e-05
77,0.317233,1.749003,0.793636,0.244359,1.34e-05
78,0.291370,1.624073,0.812951,0.256552,1.24e-05
79,0.315885,1.746214,0.818207,0.241631,1.14e-05
80,0.282427,1.912480,0.811414,0.235273,1.05e-05
81,0.294997,1.820836,0.806932,0.242908,9.56e-06
82,0.280076,1.809797,0.822670,0.242109,8.71e-06
83,0.292160,1.810821,0.817610,0.242978,7.89e-06
84,0.301830,1.767638,0.817077,0.240111,7.12e-06
85,0.342840,1.721337,0.788720,0.243906,6.40e-06
86,0.290664,1.709070,0.811804,0.245241,5.71e-06
87,0.288846,1.743710,0.822684,0.242467,5.07e-06
88,0.298080,1.751982,0.802725,0.245992,4.48e-06
89,0.284743,1.774391,0.818272,0.241337,3.93e-06
90,0.291802,1.751514,0.810076,0.249266,3.42e-06
91,0.329856,1.879225,0.779476,0.241510,2.97e-06
