chip_stem,reason,ic_frac,otsu_thresh
fisser_0001,ic_block_filter,0.5840,0.5439
fisser_0005,ic_block_filter,0.5093,0.5112
fisser_0006,ic_block_filter,0.5485,0.5457
fisser_0010,ic_block_filter,0.6581,0.6368
fisser_0018,ic_block_filter,0.2137,0.3817
fisser_0019,ic_block_filter,0.2830,0.3309
fisser_0027,ic_block_filter,0.2657,0.4015
fisser_0028,ic_block_filter,0.3452,0.3888
fisser_0035,ic_block_filter,0.4989,0.4157
fisser_0051,ic_block_filter,0.4636,0.4938
fisser_0058,ic_block_filter,0.7710,0.4954
fisser_0076,ic_block_filter,0.6025,0.6398
fisser_0086,ic_block_filter,0.3274,0.3570
fisser_0089,ic_block_filter,0.2329,0.3811
fisser_0099,ic_block_filter,0.4965,0.5679
fisser_0108,ic_block_filter,0.6172,0.6226
fisser_0114,ic_block_filter,0.5042,0.5335
fisser_0116,ic_block_filter,0.4489,0.5481
fisser_0119,ic_block_filter,0.5995,0.6435
fisser_0120,ic_block_filter,0.4983,0.3622
fisser_0122,ic_block_filter,0.5125,0.3881
fisser_0123,ic_block_filter,0.5728,0.6074
fisser_0131,ic_block_filter,0.6336,0.4453
fisser_0141,ic_block_filter,0.4455,0.4321
fisser_0151,ic_block_filter,0.6123,0.4732
fisser_0152,ic_block_filter,0.6951,0.6416
fisser_0170,ic_block_filter,0.3993,0.4662
fisser_0185,ic_block_filter,0.5368,0.4470
fisser_0188,ic_block_filter,0.7196,0.4087
fisser_0189,ic_block_filter,0.4228,0.4942
fisser_0198,ic_block_filter,0.5052,0.4352
fisser_0199,ic_block_filter,0.7298,0.6789
fisser_0208,ic_block_filter,0.5331,0.4817
fisser_0214,ic_block_filter,0.6258,0.5091
fisser_0215,ic_block_filter,0.6091,0.6238
fisser_0225,ic_block_filter,0.1711,0.3495
fisser_0232,ic_block_filter,0.3891,0.4512
fisser_0245,ic_block_filter,0.1862,0.3024
fisser_0246,ic_block_filter,0.4723,0.4717
fisser_0249,ic_block_filter,0.3047,0.4196
fisser_0260,ic_block_filter,0.5362,0.5591
fisser_0262,ic_block_filter,0.2566,0.3694
fisser_0268,ic_block_filter,0.3399,0.4608
fisser_0269,ic_block_filter,0.5527,0.4886
fisser_0272,ic_block_filter,0.4756,0.5254
fisser_0293,ic_block_filter,0.4152,0.5257
fisser_0301,ic_block_filter,0.5671,0.4531
fisser_0302,ic_block_filter,0.6756,0.4616
fisser_0320,ic_block_filter,0.5171,0.5559
fisser_0326,ic_block_filter,0.6506,0.6253
fisser_0346,ic_block_filter,0.4474,0.4497
fisser_0348,ic_block_filter,0.1641,0.3376
fisser_0352,ic_block_filter,0.5913,0.5327
fisser_0364,ic_block_filter,0.6097,0.4965
fisser_0368,ic_block_filter,0.1845,0.3458
fisser_0375,ic_block_filter,0.3794,0.5485
fisser_0386,ic_block_filter,0.5763,0.4050
fisser_0396,ic_block_filter,0.1980,0.3461
