epoch,train_loss,val_loss,train_iou,val_iou,lr
1,1.677899,2.085966,0.265664,0.178206,1.00e-04
2,1.334160,1.792137,0.350785,0.243260,9.99e-05
3,1.184579,1.635379,0.396115,0.242035,9.98e-05
4,1.104800,1.594564,0.432079,0.233478,9.96e-05
5,1.052914,1.619501,0.447514,0.217431,9.94e-05
6,1.040526,1.675710,0.444876,0.209567,9.91e-05
7,1.057602,1.863613,0.433600,0.205115,9.88e-05
8,0.992181,1.930455,0.463983,0.208322,9.84e-05
9,0.938899,1.958898,0.506167,0.204613,9.80e-05
10,0.960034,1.949896,0.483105,0.201957,9.76e-05
11,0.897517,2.007208,0.524770,0.209575,9.71e-05
12,0.882553,2.061807,0.539435,0.204634,9.65e-05
13,0.872253,1.938374,0.530752,0.209581,9.59e-05
14,0.857894,2.123720,0.553954,0.207160,9.53e-05
15,0.842201,2.069909,0.558221,0.205245,9.46e-05
16,0.857076,1.958867,0.522256,0.205206,9.39e-05
17,0.842031,1.929154,0.553347,0.213180,9.31e-05
18,0.890201,1.902699,0.528485,0.205976,9.23e-05
19,0.793325,1.991434,0.559232,0.225633,9.14e-05
20,0.760081,1.926509,0.618825,0.213313,9.05e-05
21,0.759091,1.997788,0.568639,0.214058,8.96e-05
22,0.739799,2.007463,0.620798,0.218231,8.86e-05
23,0.731819,2.005102,0.611938,0.213394,8.76e-05
24,0.739984,2.154080,0.603919,0.210469,8.66e-05
25,0.719946,2.085211,0.624562,0.206823,8.55e-05
26,0.735933,1.987848,0.608137,0.221836,8.44e-05
27,0.679489,1.983675,0.644582,0.222231,8.32e-05
28,0.674308,1.992303,0.633287,0.218192,8.21e-05
29,0.687227,1.876788,0.662574,0.218349,8.08e-05
30,0.688126,1.884219,0.611536,0.209531,7.96e-05
31,0.676316,2.077322,0.646847,0.228026,7.83e-05
32,0.638940,2.104127,0.642999,0.217076,7.70e-05
33,0.704768,1.913250,0.626882,0.229338,7.57e-05
34,0.619630,2.147910,0.660788,0.219783,7.43e-05
35,0.641243,2.168594,0.653664,0.222678,7.30e-05
36,0.622536,2.146314,0.651001,0.225871,7.16e-05
37,0.589828,2.007341,0.690802,0.219288,7.02e-05
38,0.581830,1.968314,0.687003,0.220727,6.87e-05
39,0.592828,1.997644,0.676456,0.220489,6.73e-05
