chip_stem,reason,ic_frac,otsu_thresh
fisser_0001,ic_block_filter,0.5055,0.5087
fisser_0005,ic_block_filter,0.5365,0.4697
fisser_0006,ic_block_filter,0.5675,0.5164
fisser_0010,ic_block_filter,0.5314,0.5378
fisser_0018,ic_block_filter,0.2505,0.3790
fisser_0019,ic_block_filter,0.3009,0.3474
fisser_0027,ic_block_filter,0.2623,0.3922
fisser_0028,ic_block_filter,0.3797,0.3824
fisser_0035,ic_block_filter,0.5013,0.3931
fisser_0051,ic_block_filter,0.4338,0.4526
fisser_0058,ic_block_filter,0.7557,0.5055
fisser_0076,ic_block_filter,0.6227,0.6045
fisser_0086,ic_block_filter,0.3183,0.3572
fisser_0089,ic_block_filter,0.2173,0.3903
fisser_0099,ic_block_filter,0.4962,0.5156
fisser_0108,ic_block_filter,0.5195,0.5510
fisser_0114,ic_block_filter,0.5142,0.5165
fisser_0116,ic_block_filter,0.4300,0.4885
fisser_0119,ic_block_filter,0.5913,0.6128
fisser_0120,ic_block_filter,0.4341,0.3508
fisser_0122,ic_block_filter,0.4995,0.3825
fisser_0123,ic_block_filter,0.5887,0.5549
fisser_0131,ic_block_filter,0.6535,0.4385
fisser_0141,ic_block_filter,0.4643,0.4056
fisser_0151,ic_block_filter,0.5867,0.4712
fisser_0152,ic_block_filter,0.5509,0.5714
fisser_0154,ic_block_filter,0.1636,0.2890
fisser_0170,ic_block_filter,0.4112,0.4432
fisser_0185,ic_block_filter,0.5361,0.4699
fisser_0188,ic_block_filter,0.6573,0.4603
fisser_0189,ic_block_filter,0.3821,0.4566
fisser_0198,ic_block_filter,0.3906,0.4528
fisser_0199,ic_block_filter,0.6896,0.5758
fisser_0208,ic_block_filter,0.5564,0.4491
fisser_0213,ic_block_filter,0.1567,0.3564
fisser_0214,ic_block_filter,0.5761,0.5008
fisser_0215,ic_block_filter,0.4906,0.5554
fisser_0225,ic_block_filter,0.2009,0.3543
fisser_0232,ic_block_filter,0.3908,0.4464
fisser_0245,ic_block_filter,0.2235,0.3131
fisser_0246,ic_block_filter,0.4684,0.4448
fisser_0249,ic_block_filter,0.3223,0.3976
fisser_0260,ic_block_filter,0.5742,0.4853
fisser_0262,ic_block_filter,0.2634,0.3747
fisser_0268,ic_block_filter,0.3492,0.4431
fisser_0269,ic_block_filter,0.5273,0.4637
fisser_0272,ic_block_filter,0.4742,0.4658
fisser_0293,ic_block_filter,0.4181,0.4914
fisser_0301,ic_block_filter,0.6036,0.4084
fisser_0302,ic_block_filter,0.7042,0.4378
fisser_0319,ic_block_filter,0.1651,0.3483
fisser_0320,ic_block_filter,0.5105,0.5280
fisser_0326,ic_block_filter,0.5506,0.5681
fisser_0346,ic_block_filter,0.5176,0.4456
fisser_0348,ic_block_filter,0.1748,0.3539
fisser_0352,ic_block_filter,0.4877,0.4732
fisser_0354,ic_block_filter,0.1603,0.3559
fisser_0357,ic_block_filter,0.2335,0.2818
fisser_0364,ic_block_filter,0.6174,0.4743
fisser_0368,ic_block_filter,0.2237,0.3447
fisser_0375,ic_block_filter,0.4394,0.4959
fisser_0386,ic_block_filter,0.5201,0.4229
fisser_0396,ic_block_filter,0.2355,0.3533
