epoch,train_loss,val_loss,train_iou,val_iou,lr
1,1.494740,1.730252,0.314075,0.237957,1.00e-04
2,1.142434,1.751608,0.421929,0.212925,9.99e-05
3,1.051692,1.827067,0.467933,0.208258,9.98e-05
4,0.975589,1.984950,0.486932,0.211468,9.96e-05
5,0.946222,2.075737,0.503037,0.205748,9.94e-05
6,0.887536,1.999523,0.550260,0.213355,9.91e-05
7,0.827547,2.072131,0.585629,0.212948,9.88e-05
8,0.831928,1.891200,0.565780,0.214626,9.84e-05
9,0.772059,2.081839,0.605441,0.202478,9.80e-05
10,0.774044,1.964693,0.619990,0.220460,9.76e-05
11,0.724919,2.129729,0.599818,0.216477,9.71e-05
12,0.736142,2.357406,0.596567,0.205784,9.65e-05
13,0.709754,1.637150,0.644342,0.220439,9.59e-05
14,0.640194,2.040818,0.659155,0.225616,9.53e-05
15,0.635944,2.001591,0.657976,0.220124,9.46e-05
16,0.609270,1.930515,0.701941,0.218120,9.39e-05
17,0.625351,1.919787,0.653702,0.214572,9.31e-05
18,0.569543,1.943629,0.689106,0.229561,9.23e-05
19,0.567849,1.734577,0.695682,0.238711,9.14e-05
20,0.570547,2.236014,0.698553,0.223055,9.05e-05
21,0.521411,1.905434,0.710840,0.227563,8.96e-05
22,0.575838,1.893174,0.716315,0.235153,8.86e-05
23,0.531800,2.319170,0.705007,0.214512,8.76e-05
24,0.509092,2.131197,0.719801,0.222490,8.66e-05
25,0.514309,2.181553,0.660574,0.232796,8.55e-05
26,0.456402,1.724728,0.773003,0.228307,8.44e-05
27,0.481302,1.900616,0.697789,0.232951,8.32e-05
28,0.464972,1.632326,0.737910,0.238473,8.21e-05
29,0.469332,1.635380,0.711741,0.255122,8.08e-05
30,0.448237,1.690939,0.733299,0.241151,7.96e-05
31,0.420492,1.963899,0.766441,0.225984,7.83e-05
32,0.442202,1.735881,0.750930,0.232725,7.70e-05
33,0.495910,1.725597,0.716545,0.242747,7.57e-05
