chip_stem,reason,ic_frac
fisser_0001,ic_block_filter,0.2905
fisser_0005,ic_block_filter,0.6826
fisser_0010,ic_block_filter,0.2221
fisser_0019,ic_block_filter,0.5122
fisser_0027,ic_block_filter,0.2080
fisser_0028,ic_block_filter,0.1649
fisser_0051,ic_block_filter,0.3094
fisser_0058,ic_block_filter,0.7837
fisser_0076,ic_block_filter,0.9974
fisser_0116,ic_block_filter,0.1735
fisser_0120,ic_block_filter,0.5460
fisser_0122,ic_block_filter,0.3605
fisser_0151,ic_block_filter,0.4976
fisser_0170,ic_block_filter,0.2442
fisser_0188,ic_block_filter,0.8313
fisser_0198,ic_block_filter,0.3992
fisser_0199,ic_block_filter,0.9165
fisser_0208,ic_block_filter,0.4826
fisser_0214,ic_block_filter,0.7013
fisser_0246,ic_block_filter,0.9883
fisser_0260,ic_block_filter,0.4174
fisser_0268,ic_block_filter,0.3539
fisser_0272,ic_block_filter,0.2056
fisser_0293,ic_block_filter,0.1812
fisser_0301,ic_block_filter,0.6302
fisser_0319,ic_block_filter,0.3793
fisser_0320,ic_block_filter,0.9816
fisser_0326,ic_block_filter,0.4785
fisser_0348,ic_block_filter,0.4227
fisser_0352,ic_block_filter,0.2218
fisser_0386,ic_block_filter,0.5212
