chip_stem,reason,ic_frac,otsu_thresh
fisser_0001,ic_block_filter,0.3118,0.4669
fisser_0005,ic_block_filter,0.7796,0.5099
fisser_0010,ic_block_filter,0.4352,0.4942
fisser_0019,ic_block_filter,0.3083,0.4356
fisser_0051,ic_block_filter,0.3798,0.4746
fisser_0058,ic_block_filter,0.7968,0.4864
fisser_0076,ic_block_filter,0.9983,0.5298
fisser_0116,ic_block_filter,0.3211,0.4825
fisser_0120,ic_block_filter,0.5598,0.4709
fisser_0122,ic_block_filter,0.1662,0.4356
fisser_0151,ic_block_filter,0.2488,0.4317
fisser_0170,ic_block_filter,0.2579,0.4551
fisser_0188,ic_block_filter,0.7743,0.4865
fisser_0189,ic_block_filter,0.2401,0.4707
fisser_0198,ic_block_filter,0.3139,0.4278
fisser_0199,ic_block_filter,0.9644,0.5528
fisser_0214,ic_block_filter,0.6229,0.4943
fisser_0232,ic_block_filter,0.2845,0.4785
fisser_0246,ic_block_filter,0.8494,0.5725
fisser_0260,ic_block_filter,0.4009,0.4863
fisser_0268,ic_block_filter,0.2637,0.4512
fisser_0272,ic_block_filter,0.3915,0.4863
fisser_0293,ic_block_filter,0.2965,0.4864
fisser_0301,ic_block_filter,0.6131,0.4903
fisser_0320,ic_block_filter,0.8762,0.6231
fisser_0326,ic_block_filter,0.1727,0.4082
fisser_0352,ic_block_filter,0.3614,0.4824
fisser_0386,ic_block_filter,0.2257,0.4395
