epoch,train_loss,val_loss,train_iou,val_iou,lr
1,1.510123,1.531070,0.237367,0.176187,1.00e-04
2,1.193632,1.619972,0.318202,0.160550,9.99e-05
3,1.086211,1.596939,0.381556,0.168839,9.98e-05
4,1.036807,1.523883,0.403065,0.197501,9.96e-05
5,0.957115,1.522533,0.455511,0.196410,9.94e-05
6,0.913225,1.373992,0.464575,0.225571,9.91e-05
7,0.850437,1.544533,0.505766,0.218550,9.88e-05
8,0.810411,1.424784,0.529208,0.227343,9.84e-05
9,0.739508,1.422858,0.568424,0.220504,9.80e-05
10,0.717819,1.360234,0.558731,0.222266,9.76e-05
11,0.676102,1.286792,0.579951,0.254777,9.71e-05
12,0.636739,1.283620,0.595819,0.253996,9.65e-05
13,0.590627,1.325033,0.623148,0.248180,9.59e-05
14,0.563039,1.263794,0.644349,0.248305,9.53e-05
15,0.580550,1.326864,0.606306,0.233007,9.46e-05
16,0.537147,1.362785,0.643286,0.238254,9.39e-05
17,0.508870,1.332748,0.664521,0.264391,9.31e-05
18,0.539664,1.311859,0.640698,0.254076,9.23e-05
19,0.522989,1.284937,0.634339,0.254169,9.14e-05
20,0.501378,1.261287,0.647151,0.254111,9.05e-05
21,0.475618,1.385494,0.663457,0.232076,8.96e-05
22,0.481043,1.446238,0.662175,0.243573,8.86e-05
23,0.473098,1.236368,0.675307,0.263079,8.76e-05
24,0.419175,1.346136,0.701165,0.249140,8.66e-05
25,0.435344,1.195588,0.693036,0.284527,8.55e-05
26,0.426983,1.216756,0.695263,0.280339,8.44e-05
27,0.433565,1.219635,0.685120,0.279588,8.32e-05
28,0.417444,1.354062,0.697048,0.252401,8.21e-05
29,0.389833,1.278310,0.716458,0.262146,8.08e-05
30,0.406065,1.295599,0.700437,0.249423,7.96e-05
31,0.390595,1.301163,0.715633,0.247931,7.83e-05
32,0.392043,1.183130,0.718936,0.270986,7.70e-05
33,0.370779,1.212943,0.728517,0.273790,7.57e-05
34,0.386422,1.246483,0.717593,0.263824,7.43e-05
35,0.373159,1.156964,0.729599,0.287332,7.30e-05
36,0.364287,1.271078,0.731243,0.285971,7.16e-05
37,0.373140,1.502458,0.723056,0.247897,7.02e-05
38,0.374080,1.303814,0.717614,0.250566,6.87e-05
39,0.362400,1.149260,0.728970,0.278775,6.73e-05
40,0.357832,1.265588,0.726709,0.269396,6.58e-05
41,0.339369,1.346113,0.751824,0.263269,6.43e-05
42,0.361073,1.273693,0.729362,0.257679,6.28e-05
43,0.363790,1.169571,0.717822,0.280168,6.13e-05
44,0.345980,1.092115,0.734078,0.308985,5.98e-05
45,0.334196,1.310198,0.749742,0.261149,5.82e-05
46,0.322698,1.087760,0.754424,0.304558,5.67e-05
