chip_stem,reason,ic_frac,otsu_thresh
fisser_0002,ic_block_filter,0.5717,0.5100
fisser_0009,ic_block_filter,0.1724,0.4241
fisser_0029,ic_block_filter,0.3264,0.4396
fisser_0034,ic_block_filter,0.2329,0.4473
fisser_0045,ic_block_filter,0.7383,0.5802
fisser_0059,ic_block_filter,0.3068,0.4748
fisser_0066,ic_block_filter,0.6766,0.5294
fisser_0068,ic_block_filter,0.1599,0.0069
fisser_0097,ic_block_filter,0.5322,0.5021
fisser_0143,ic_block_filter,0.1777,0.4357
fisser_0164,ic_block_filter,0.8181,0.6011
fisser_0169,ic_block_filter,0.2725,0.4396
fisser_0175,ic_block_filter,0.2015,0.4435
fisser_0192,ic_block_filter,0.2214,0.4864
fisser_0198,ic_block_filter,0.1551,0.4123
fisser_0209,ic_block_filter,0.6170,0.5571
fisser_0227,ic_block_filter,0.2104,0.4630
fisser_0246,ic_block_filter,0.1735,0.4203
fisser_0259,ic_block_filter,0.5392,0.5145
fisser_0314,ic_block_filter,0.1996,0.4320
fisser_0329,ic_block_filter,0.3332,0.4398
fisser_0349,ic_block_filter,0.2611,0.4786
fisser_0352,ic_block_filter,0.3722,0.4708
fisser_0362,ic_block_filter,0.2544,0.4320
fisser_0365,ic_block_filter,0.3570,0.4864
fisser_0373,ic_block_filter,0.6993,0.4867
fisser_0376,ic_block_filter,0.1837,0.4513
