epoch,train_loss,val_loss,train_iou,val_iou,lr
1,1.528333,1.347909,0.244470,0.292663,1.00e-04
2,1.303127,1.235569,0.292594,0.299280,9.99e-05
3,1.234554,1.195071,0.311324,0.304515,9.98e-05
4,1.193431,1.136408,0.329014,0.347035,9.96e-05
5,1.128337,1.101921,0.359732,0.345190,9.94e-05
6,1.109774,1.097551,0.358294,0.418466,9.91e-05
7,1.090753,1.042491,0.371154,0.380488,9.88e-05
8,1.033215,1.032593,0.405359,0.420261,9.84e-05
9,1.019998,0.994816,0.399584,0.444844,9.80e-05
10,1.028334,0.980122,0.405034,0.408825,9.76e-05
11,0.983067,0.972310,0.414752,0.442414,9.71e-05
12,0.949360,0.964827,0.424838,0.439210,9.65e-05
13,0.962168,1.030145,0.428625,0.349472,9.59e-05
14,0.950971,0.953729,0.426355,0.468872,9.53e-05
15,0.937288,0.942749,0.430757,0.387656,9.46e-05
16,0.914117,0.909010,0.448456,0.442528,9.39e-05
17,0.908900,0.892290,0.448414,0.464672,9.31e-05
18,0.890939,0.893719,0.443381,0.471670,9.23e-05
19,0.875067,0.893451,0.460815,0.443135,9.14e-05
20,0.883018,0.946408,0.457856,0.386408,9.05e-05
21,0.904531,0.911460,0.455956,0.502873,8.96e-05
22,0.872083,0.894383,0.453388,0.427998,8.86e-05
23,0.828174,0.842857,0.471223,0.464132,8.76e-05
24,0.811253,0.876985,0.473002,0.442189,8.66e-05
25,0.813597,0.898947,0.486828,0.484728,8.55e-05
26,0.794492,0.855564,0.489214,0.464185,8.44e-05
27,0.802221,0.888728,0.485247,0.485004,8.32e-05
28,0.784170,0.893735,0.490292,0.400892,8.21e-05
29,0.768654,0.895059,0.504079,0.513571,8.08e-05
30,0.765287,0.844471,0.510819,0.454864,7.96e-05
31,0.749695,0.908095,0.504409,0.499350,7.83e-05
32,0.779954,0.889888,0.492758,0.463257,7.70e-05
33,0.759321,0.880929,0.496645,0.488151,7.57e-05
34,0.761531,0.935092,0.506506,0.412607,7.43e-05
35,0.781650,0.809614,0.498011,0.492971,7.30e-05
36,0.731569,0.830020,0.514812,0.516499,7.16e-05
37,0.770282,0.865166,0.502075,0.487784,7.02e-05
38,0.748635,0.821326,0.514827,0.465531,6.87e-05
39,0.735944,0.816943,0.518980,0.514500,6.73e-05
40,0.712899,0.868162,0.522877,0.475678,6.58e-05
41,0.719591,0.843957,0.524746,0.495793,6.43e-05
42,0.715906,0.836620,0.522821,0.510569,6.28e-05
43,0.713062,0.853762,0.526429,0.491775,6.13e-05
44,0.702426,0.863255,0.530206,0.485146,5.98e-05
45,0.694244,0.885723,0.532688,0.527511,5.82e-05
46,0.683312,0.892196,0.543690,0.499885,5.67e-05
47,0.683561,0.871231,0.538446,0.464583,5.52e-05
48,0.686860,0.928755,0.532810,0.494607,5.36e-05
49,0.671610,0.908116,0.536797,0.481819,5.21e-05
50,0.663123,0.930568,0.546840,0.494825,5.05e-05
51,0.664844,0.855070,0.552225,0.487730,4.89e-05
52,0.658626,1.022551,0.542085,0.501478,4.74e-05
53,0.679511,0.976988,0.542740,0.484503,4.58e-05
54,0.658557,0.909401,0.559783,0.471720,4.43e-05
55,0.632291,0.897058,0.559531,0.511417,4.28e-05
56,0.629350,0.955663,0.566084,0.486400,4.12e-05
57,0.638788,0.891482,0.566823,0.507929,3.97e-05
58,0.641975,0.927988,0.555749,0.490635,3.82e-05
59,0.641085,0.894008,0.568737,0.505150,3.67e-05
60,0.632274,0.917559,0.567133,0.491316,3.52e-05
61,0.626391,1.013245,0.569666,0.502394,3.37e-05
62,0.615250,0.978917,0.570720,0.512742,3.23e-05
63,0.616682,0.897291,0.580194,0.509301,3.08e-05
64,0.635919,0.951044,0.559141,0.486712,2.94e-05
65,0.605148,0.918470,0.583385,0.511376,2.80e-05
66,0.613456,0.988995,0.581167,0.509390,2.67e-05
67,0.615671,0.956719,0.571904,0.506520,2.53e-05
68,0.596647,0.985499,0.582569,0.506616,2.40e-05
69,0.599365,0.959762,0.578944,0.511914,2.27e-05
70,0.580168,0.975075,0.590467,0.501421,2.14e-05
71,0.593544,0.996390,0.585552,0.502308,2.02e-05
72,0.601597,0.947676,0.577253,0.503768,1.89e-05
73,0.597631,0.972742,0.582766,0.499247,1.78e-05
74,0.600284,0.965342,0.579665,0.506145,1.66e-05
75,0.585783,0.939805,0.588928,0.515960,1.55e-05
76,0.585324,0.901856,0.591765,0.514596,1.44e-05
77,0.588568,0.915701,0.589690,0.517366,1.34e-05
78,0.582280,0.953439,0.597142,0.518764,1.24e-05
79,0.590373,0.902320,0.586024,0.515668,1.14e-05
80,0.591776,0.954080,0.584358,0.516582,1.05e-05
81,0.586794,0.924906,0.591341,0.515601,9.56e-06
82,0.571499,0.939418,0.593600,0.518042,8.71e-06
83,0.563141,0.963150,0.602144,0.515991,7.89e-06
84,0.575052,0.941222,0.589030,0.515083,7.12e-06
85,0.582570,0.995107,0.590878,0.515768,6.40e-06
86,0.584483,0.950289,0.593549,0.519529,5.71e-06
87,0.584719,0.931094,0.582983,0.513230,5.07e-06
88,0.593481,0.935185,0.585199,0.512025,4.48e-06
89,0.582852,0.994041,0.589657,0.507581,3.93e-06
90,0.581632,0.944809,0.587831,0.509920,3.42e-06
91,0.574088,0.952378,0.594235,0.511959,2.97e-06
92,0.583794,0.959854,0.591963,0.508367,2.56e-06
93,0.571096,0.974092,0.598858,0.511556,2.19e-06
94,0.569104,0.938175,0.594736,0.514066,1.88e-06
95,0.574353,0.976799,0.592057,0.511448,1.61e-06
96,0.565947,0.968637,0.603424,0.515501,1.39e-06
97,0.564769,0.957334,0.598817,0.509742,1.22e-06
98,0.577948,0.963104,0.597665,0.514444,1.10e-06
99,0.576821,0.937507,0.594503,0.518096,1.02e-06
100,0.574964,0.941256,0.592638,0.515404,1.00e-06

test_loss,0.780822
