region,sza_bin,chip_stem,cloud_fraction,qa60_available
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r10240_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r10240_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r10240_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r10496_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r10496_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r10496_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r8448_c10496,0.5679,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r8704_c10240,0.0627,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r8704_c10496,0.5143,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r8960_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r8960_c10496,0.0379,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9216_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9216_c10496,0.0108,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9216_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9472_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9472_c10496,0.3807,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9472_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c10496,0.569,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9984_c10240,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9984_c10496,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9984_c9984,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDS_20230922T140258_r8960_c10240,1.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WDS_20230922T140258_r8960_c10496,1.0,True
