sza_bin,ndwi_threshold,n_chips,n_cloud_skipped,n_ic_skipped,n_band_skipped,n_with_detect,n_polygons,total_area_km2,median_chip_area_m2,mean_chip_area_m2,max_chip_area_m2
sza_65_70,-0.05,2100,138,602,0,443,34220,87.934,0.0,64657.35,963500.0
sza_65_70,0.0,2100,138,602,0,443,40094,79.3448,0.0,58341.76,963500.0
sza_65_70,0.05,2100,138,602,0,442,36978,65.4989,0.0,48160.96,963500.0
sza_65_70,0.1,2100,138,602,0,375,32274,54.0702,0.0,39757.5,885000.0
sza_70_75,-0.05,3336,175,717,0,1135,63989,149.1873,0.0,61042.27,979700.0
sza_70_75,0.0,3336,175,717,0,1135,69983,139.5089,0.0,57082.2,962800.0
sza_70_75,0.05,3336,175,717,0,1132,79007,111.7031,0.0,45705.03,960400.0
sza_70_75,0.1,3336,175,717,0,926,61131,75.3192,0.0,30818.0,959300.0
sza_gt75,-0.05,2440,197,1119,0,669,70596,154.7176,1050.0,137649.11,978400.0
sza_gt75,0.0,2440,197,1119,0,667,75624,144.8061,1000.0,128831.05,978400.0
sza_gt75,0.05,2440,197,1119,0,662,105234,107.4161,850.0,95565.93,969000.0
sza_gt75,0.1,2440,197,1119,0,518,101889,57.9295,0.0,51538.7,861200.0
sza_lt65,-0.05,534,29,233,0,137,27703,37.7484,150.0,138780.88,970200.0
sza_lt65,0.0,534,29,233,0,137,29645,34.2951,150.0,126084.93,970200.0
sza_lt65,0.05,534,29,233,0,137,27556,31.0665,150.0,114215.07,969900.0
sza_lt65,0.1,534,29,233,0,137,28013,28.9287,150.0,106355.51,952900.0
