chip_stem,region,sza_bin,ic_frac,n_polys_c4,n_polys_c8,area_m2_c4,area_m2_c8,delta_n,delta_area_m2
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c1536,KQ,sza_lt65,0.080535888671875,411,381,527800.0,527800.0,30,0.0
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c1792,KQ,sza_lt65,0.104278564453125,468,453,683400.0,683400.0,15,0.0
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c1792,KQ,sza_lt65,0.0478515625,367,360,313600.0,313600.0,7,0.0
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2048,KQ,sza_lt65,0.1194000244140625,369,351,782500.0,782500.0,18,0.0
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c3072,KQ,sza_lt65,0.10308837890625,141,118,675600.0,675600.0,23,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0000_c10240,KQ,sza_lt65,0.0108489990234375,47,45,71100.0,71100.0,2,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0000_c10496,KQ,sza_lt65,0.001739501953125,4,4,11400.0,11400.0,0,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0000_c9984,KQ,sza_lt65,0.01226806640625,220,214,80400.0,80400.0,6,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0256_c10240,KQ,sza_lt65,4.57763671875e-05,3,3,300.0,300.0,0,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0256_c10496,KQ,sza_lt65,0.000396728515625,2,2,2600.0,2600.0,0,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0256_c9984,KQ,sza_lt65,0.1129150390625,345,306,740000.0,740000.0,39,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0512_c10240,KQ,sza_lt65,0.0146484375,10,10,96000.0,96000.0,0,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0512_c10496,KQ,sza_lt65,0.0004119873046875,3,3,2700.0,2700.0,0,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0512_c9984,KQ,sza_lt65,0.05267333984375,425,388,345200.0,345200.0,37,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0768_c10240,KQ,sza_lt65,0.000213623046875,3,3,1400.0,1400.0,0,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0768_c10496,KQ,sza_lt65,0.0094146728515625,5,5,61700.0,61700.0,0,0.0
S2A_MSIL1C_20160902T135032_N0500_R110_T25WDQ_20230930T164002_r0768_c9984,KQ,sza_lt65,0.009521484375,5,5,62400.0,62400.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0000_c10240,KQ,sza_lt65,0.021759033203125,17,16,142600.0,142600.0,1,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0000_c10496,KQ,sza_lt65,0.0014495849609375,2,2,9500.0,9500.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0000_c9984,KQ,sza_lt65,0.0680999755859375,233,217,446300.0,446300.0,16,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0256_c10240,KQ,sza_lt65,0.00421142578125,5,5,27600.0,27600.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0256_c10496,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0256_c9984,KQ,sza_lt65,0.02490234375,94,84,163200.0,163200.0,10,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0512_c10240,KQ,sza_lt65,0.0009307861328125,1,1,6100.0,6100.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0512_c10496,KQ,sza_lt65,0.0115203857421875,3,3,75500.0,75500.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0512_c9984,KQ,sza_lt65,0.015960693359375,13,11,104600.0,104600.0,2,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0768_c10240,KQ,sza_lt65,0.0001220703125,1,1,800.0,800.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0768_c10496,KQ,sza_lt65,0.0009765625,3,3,6400.0,6400.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0768_c9984,KQ,sza_lt65,0.005950927734375,2,2,39000.0,39000.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10240_c10240,KQ,sza_lt65,0.00421142578125,5,5,27600.0,27600.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10240_c10496,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10240_c9984,KQ,sza_lt65,0.019683837890625,102,90,129000.0,129000.0,12,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10496_c10240,KQ,sza_lt65,0.0009307861328125,1,1,6100.0,6100.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10496_c10496,KQ,sza_lt65,0.0115203857421875,3,3,75500.0,75500.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10496_c9984,KQ,sza_lt65,0.0219573974609375,16,14,143900.0,143900.0,2,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r8960_c10496,KQ,sza_lt65,0.12249755859375,617,586,802800.0,802800.0,31,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9216_c10496,KQ,sza_lt65,0.0716705322265625,673,634,469700.0,469700.0,39,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9472_c10240,KQ,sza_lt65,0.1114044189453125,670,619,730100.0,730100.0,51,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9472_c9984,KQ,sza_lt65,0.0662841796875,576,544,434400.0,434400.0,32,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9728_c10496,KQ,sza_lt65,0.1164398193359375,61,51,763100.0,763100.0,10,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9728_c9984,KQ,sza_lt65,0.06829833984375,245,229,447600.0,447600.0,16,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9984_c10240,KQ,sza_lt65,0.02337646484375,19,17,153200.0,153200.0,2,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9984_c10496,KQ,sza_lt65,0.0018463134765625,3,3,12100.0,12100.0,0,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9984_c9984,KQ,sza_lt65,0.0723876953125,246,231,474400.0,474400.0,15,0.0
S2A_MSIL1C_20210906T135031_N0500_R110_T25WES_20230117T021638_r10496_c3072,KQ,sza_lt65,0.0923004150390625,404,384,604900.0,604900.0,20,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0000_c10240,KQ,sza_lt65,0.017791748046875,173,164,116600.0,116600.0,9,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0000_c10496,KQ,sza_lt65,9.1552734375e-05,4,4,600.0,600.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0000_c9984,KQ,sza_lt65,0.074981689453125,561,541,491400.0,491400.0,20,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0256_c10240,KQ,sza_lt65,7.62939453125e-05,4,4,500.0,500.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0256_c10496,KQ,sza_lt65,0.0,0,0,0.0,0.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0256_c9984,KQ,sza_lt65,0.019287109375,45,44,126400.0,126400.0,1,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0512_c10240,KQ,sza_lt65,0.0213470458984375,37,37,139900.0,139900.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0512_c10496,KQ,sza_lt65,0.00054931640625,4,4,3600.0,3600.0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0512_c9984,KQ,sza_lt65,0.0262451171875,62,61,172000.0,172000.0,1,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0768_c10240,KQ,sza_lt65,0.0606536865234375,341,333,397500.0,397500.0,8,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0768_c10496,KQ,sza_lt65,0.041534423828125,335,328,272200.0,272200.0,7,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WDQ_20230823T215140_r0768_c9984,KQ,sza_lt65,0.044158935546875,397,391,289400.0,289400.0,6,0.0
