region,sza_bin,ndwi_threshold,area_km2,n_polygons,n_chips,n_ic_skipped,n_band_skipped
KQ,sza_lt65,-0.0500,37.7484,27703,534,262,0
KQ,sza_lt65,0.0000,34.2951,29645,534,262,0
KQ,sza_lt65,0.0500,31.0665,27556,534,262,0
KQ,sza_lt65,0.1000,28.9287,28013,534,262,0
KQ,sza_lt65,0.2000,8.5712,26118,534,262,0
KQ,sza_65_70,-0.0500,87.9340,34220,2100,740,0
KQ,sza_65_70,0.0000,79.3448,40094,2100,740,0
KQ,sza_65_70,0.0500,65.4989,36978,2100,740,0
KQ,sza_65_70,0.1000,54.0702,32274,2100,740,0
KQ,sza_65_70,0.2000,23.7899,38783,2100,740,0
KQ,sza_70_75,-0.0500,149.1873,63989,3336,892,0
KQ,sza_70_75,0.0000,139.5089,69983,3336,892,0
KQ,sza_70_75,0.0500,111.7031,79007,3336,892,0
KQ,sza_70_75,0.1000,75.3192,61131,3336,892,0
KQ,sza_70_75,0.2000,33.8045,61022,3336,892,0
KQ,sza_gt75,-0.0500,154.7176,70596,2440,1316,0
KQ,sza_gt75,0.0000,144.8061,75624,2440,1316,0
KQ,sza_gt75,0.0500,107.4161,105234,2440,1316,0
KQ,sza_gt75,0.1000,57.9295,101889,2440,1316,0
KQ,sza_gt75,0.2000,10.9187,22170,2440,1316,0
SK,sza_lt65,-0.0500,164.7126,106207,3910,1355,0
SK,sza_lt65,0.0000,148.2725,107420,3910,1355,0
SK,sza_lt65,0.0500,110.1858,111577,3910,1355,0
SK,sza_lt65,0.1000,89.1930,100590,3910,1355,0
SK,sza_lt65,0.2000,22.5145,66310,3910,1355,0
SK,sza_65_70,-0.0500,79.7889,33113,3105,860,0
SK,sza_65_70,0.0000,67.8716,36191,3105,860,0
SK,sza_65_70,0.0500,39.6105,41738,3105,860,0
SK,sza_65_70,0.1000,24.1399,33270,3105,860,0
SK,sza_65_70,0.2000,4.7229,15195,3105,860,0
SK,sza_70_75,-0.0500,29.6929,24639,575,452,0
SK,sza_70_75,0.0000,25.9211,25570,575,452,0
SK,sza_70_75,0.0500,23.0563,26892,575,452,0
SK,sza_70_75,0.1000,16.0742,27156,575,452,0
SK,sza_70_75,0.2000,2.2711,9752,575,452,0
SK,sza_gt75,-0.0500,269.5849,167425,7981,3995,0
SK,sza_gt75,0.0000,240.3768,192650,7981,3995,0
SK,sza_gt75,0.0500,157.0302,249166,7981,3995,0
SK,sza_gt75,0.1000,61.9731,128479,7981,3995,0
SK,sza_gt75,0.2000,15.3149,25147,7981,3995,0
