chip_stem,region,sza_bin,otsu_thresh,n_unique_b08
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0000_c10240,KQ,sza_lt65,0.30222225189208984,2043
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0000_c10496,KQ,sza_lt65,0.1428908109664917,724
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0000_c9984,KQ,sza_lt65,0.1887296736240387,1941
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0256_c10240,KQ,sza_lt65,0.2438974529504776,1008
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0256_c10496,KQ,sza_lt65,0.12586230039596558,172
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0256_c9984,KQ,sza_lt65,0.3085220456123352,2112
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0512_c10240,KQ,sza_lt65,0.31553027033805847,275
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0512_c10496,KQ,sza_lt65,0.3217589855194092,1113
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0512_c9984,KQ,sza_lt65,0.303952693939209,1797
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0768_c10240,KQ,sza_lt65,0.000613671843893826,222
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0768_c10496,KQ,sza_lt65,0.0013349609216675162,337
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDQ_20230117T021638_r0768_c9984,KQ,sza_lt65,0.0014804686652496457,991
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10240_c10240,KQ,sza_lt65,0.24386680126190186,1018
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10240_c10496,KQ,sza_lt65,0.1263982355594635,191
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10240_c9984,KQ,sza_lt65,0.2959638833999634,1823
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10496_c10240,KQ,sza_lt65,0.3151894211769104,335
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10496_c10496,KQ,sza_lt65,0.3217589855194092,1100
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r10496_c9984,KQ,sza_lt65,0.30968788266181946,2117
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r8448_c10496,KQ,sza_lt65,0.3264029026031494,6358
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r8704_c10240,KQ,sza_lt65,0.001876757713034749,5069
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r8704_c10496,KQ,sza_lt65,0.46174493432044983,7121
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r8960_c10240,KQ,sza_lt65,0.2844458818435669,2866
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r8960_c10496,KQ,sza_lt65,0.2453179806470871,2472
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9216_c10240,KQ,sza_lt65,0.27655643224716187,2187
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9216_c10496,KQ,sza_lt65,0.22409667074680328,1906
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9216_c9984,KQ,sza_lt65,0.22575819492340088,2442
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9472_c10240,KQ,sza_lt65,0.2995683252811432,3227
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9472_c10496,KQ,sza_lt65,0.24418672919273376,2758
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9472_c9984,KQ,sza_lt65,0.1892625093460083,2045
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9728_c10240,KQ,sza_lt65,0.23942069709300995,3830
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9728_c10496,KQ,sza_lt65,0.2441515475511551,2553
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9728_c9984,KQ,sza_lt65,0.1772894412279129,1528
S2A_MSIL1C_20210906T135031_N0500_R110_T25WDR_20230117T021638_r9984_c10240,KQ,sza_lt65,0.3000470697879791,2157
