chip_stem,region,sza_bin,otsu,fixed_ic,otsu_ic,a_skip,b_skip,outcome
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r8960_c10240,KQ,sza_lt65,0.4188224673271179,1.0,0.462005615234375,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r8960_c10496,KQ,sza_lt65,0.4960681200027466,0.9864959716796875,0.50604248046875,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9216_c10240,KQ,sza_lt65,0.19028416275978088,0.8742828369140625,0.900634765625,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9216_c10496,KQ,sza_lt65,0.5194388628005981,1.0,0.6929779052734375,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9472_c10496,KQ,sza_lt65,0.0014416015474125743,0.9281768798828125,0.9281768798828125,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c1536,KQ,sza_lt65,0.2965419888496399,0.080535888671875,0.0259246826171875,False,False,both_keep
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c1792,KQ,sza_lt65,0.3335917890071869,0.104278564453125,0.0515899658203125,False,False,both_keep
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2048,KQ,sza_lt65,0.3399433493614197,0.2249755859375,0.040863037109375,False,True,b_only_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2304,KQ,sza_lt65,0.2844359278678894,0.5568084716796875,0.10137939453125,False,True,b_only_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2560,KQ,sza_lt65,0.4754316210746765,0.698455810546875,0.058563232421875,False,True,b_only_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2816,KQ,sza_lt65,0.29232966899871826,0.7415313720703125,0.522308349609375,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c3072,KQ,sza_lt65,0.21284353733062744,0.389617919921875,0.4409942626953125,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c1792,KQ,sza_lt65,0.2731249928474426,0.0478515625,0.0228271484375,False,False,both_keep
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2048,KQ,sza_lt65,0.3126542866230011,0.1194000244140625,0.0279693603515625,False,False,both_keep
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2304,KQ,sza_lt65,0.2444380819797516,0.25616455078125,0.1033477783203125,False,True,b_only_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2560,KQ,sza_lt65,0.4412034749984741,0.8675689697265625,0.070587158203125,False,True,b_only_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2816,KQ,sza_lt65,0.26173242926597595,0.6119384765625,0.5354156494140625,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c3072,KQ,sza_lt65,0.21082714200019836,0.10308837890625,0.116119384765625,False,False,both_keep
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c1792,KQ,sza_lt65,0.29539570212364197,0.800811767578125,0.3726654052734375,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c2048,KQ,sza_lt65,0.2928081750869751,0.57757568359375,0.2263641357421875,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0256,KQ,sza_lt65,0.41788262128829956,1.0,0.4652099609375,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0512,KQ,sza_lt65,0.48816266655921936,0.9782562255859375,0.581024169921875,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1536,KQ,sza_lt65,0.0010251952335238457,0.7566070556640625,0.7566070556640625,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1792,KQ,sza_lt65,0.31921014189720154,0.9971466064453125,0.233978271484375,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c2048,KQ,sza_lt65,0.2948794960975647,0.89068603515625,0.3383941650390625,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0256,KQ,sza_lt65,0.21780116856098175,0.9122467041015625,0.9136199951171875,True,True,both_skip
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0512,KQ,sza_lt65,0.5351419448852539,1.0,0.624481201171875,True,True,both_skip
