chip_stem,sza_bin,radius_px,n_recovered,total_recovered_m2,max_area_m2,median_area_m2,has_base_mask
fisser_0001,sza_lt65,5,103,2111600.0,732000.0,3200.0,False
fisser_0001,sza_lt65,10,91,2422500.0,886100.0,3300.0,False
fisser_0001,sza_lt65,15,79,2557000.0,1702100.0,3600.0,False
fisser_0001,sza_lt65,20,75,2631400.0,1758300.0,4000.0,False
fisser_0005,sza_lt65,5,59,2166000.0,1764800.0,3100.0,False
fisser_0005,sza_lt65,10,8,3599200.0,3568300.0,5100.0,False
fisser_0005,sza_lt65,15,5,4260300.0,4237700.0,3100.0,False
fisser_0005,sza_lt65,20,3,4425000.0,4420300.0,3100.0,False
fisser_0010,sza_lt65,5,218,1442600.0,89900.0,3350.0,False
fisser_0010,sza_lt65,10,206,1628400.0,123100.0,3650.0,False
fisser_0010,sza_lt65,15,207,1698300.0,128000.0,3600.0,False
fisser_0010,sza_lt65,20,206,1743100.0,130700.0,3500.0,False
fisser_0011,sza_lt65,5,15,107200.0,27900.0,4900.0,False
fisser_0011,sza_lt65,10,15,117100.0,31700.0,5000.0,False
fisser_0011,sza_lt65,15,15,118900.0,31900.0,5000.0,False
fisser_0011,sza_lt65,20,15,119100.0,32000.0,5100.0,False
fisser_0018,sza_lt65,5,44,245300.0,46700.0,2650.0,False
fisser_0018,sza_lt65,10,44,268200.0,53900.0,2650.0,False
fisser_0018,sza_lt65,15,43,292500.0,54600.0,3300.0,False
fisser_0018,sza_lt65,20,44,318000.0,55400.0,2800.0,False
fisser_0019,sza_lt65,5,23,86600.0,15800.0,2400.0,False
fisser_0019,sza_lt65,10,41,322500.0,70700.0,3200.0,False
fisser_0019,sza_lt65,15,49,669800.0,341900.0,2500.0,False
fisser_0019,sza_lt65,20,40,1002600.0,584800.0,2750.0,False
fisser_0027,sza_lt65,5,51,631200.0,370200.0,3500.0,False
fisser_0027,sza_lt65,10,27,998900.0,901500.0,2800.0,False
fisser_0027,sza_lt65,15,26,1171900.0,1069800.0,3200.0,False
fisser_0027,sza_lt65,20,25,1206300.0,1108400.0,3200.0,False
fisser_0028,sza_lt65,5,97,889000.0,83800.0,3600.0,False
fisser_0028,sza_lt65,10,71,1297000.0,203900.0,4000.0,False
fisser_0028,sza_lt65,15,67,1419700.0,233700.0,4200.0,False
fisser_0028,sza_lt65,20,66,1448200.0,239200.0,3750.0,False
fisser_0035,sza_lt65,5,171,818200.0,36400.0,3100.0,False
fisser_0035,sza_lt65,10,169,941200.0,39200.0,3400.0,False
fisser_0035,sza_lt65,15,175,1031000.0,55200.0,3300.0,False
fisser_0035,sza_lt65,20,166,1084400.0,91200.0,3300.0,False
fisser_0036,sza_lt65,5,2,15100.0,11000.0,7550.0,False
fisser_0036,sza_lt65,10,2,18200.0,14100.0,9100.0,False
