chip_stem,sza_bin,sigma,thresh_3sigma,thresh_otsu,n_recovered_prod,area_recovered_prod_m2,n_recovered_otsu,area_recovered_otsu_m2,n_recovered_3sigma,area_recovered_3sigma_m2,has_base_mask
fisser_0001,sza_lt65,0.12285587936639786,0.3685676380991936,0.18500196933746338,91,2422500.0,106,803100.0,34,200800.0,False
fisser_0005,sza_lt65,0.13102126121520996,0.3930637836456299,0.20516835153102875,8,3599200.0,80,1041700.0,54,351100.0,False
fisser_0010,sza_lt65,0.12964488565921783,0.3889346569776535,0.20822811126708984,206,1628400.0,92,595600.0,43,288200.0,False
fisser_0011,sza_lt65,0.05105310678482056,0.15315932035446167,0.236100971698761,15,117100.0,5,55300.0,8,68800.0,False
fisser_0018,sza_lt65,0.06700394302606583,0.20101182907819748,0.18641912937164307,44,268200.0,26,138200.0,26,131400.0,False
fisser_0019,sza_lt65,0.039108697324991226,0.11732609197497368,0.1328548789024353,41,322500.0,11,87500.0,12,93800.0,False
fisser_0027,sza_lt65,0.04981846362352371,0.14945539087057114,0.0716269463300705,27,998900.0,38,732400.0,35,115400.0,False
fisser_0028,sza_lt65,0.0831112414598465,0.2493337243795395,0.139854297041893,71,1297000.0,47,509700.0,28,250400.0,False
fisser_0035,sza_lt65,0.08035657554864883,0.2410697266459465,0.16178612411022186,169,941200.0,46,162900.0,27,99900.0,False
fisser_0036,sza_lt65,0.020396146923303604,0.06118844076991081,0.24290448427200317,2,18200.0,2,9500.0,2,17100.0,False
fisser_0039,sza_lt65,0.06849925220012665,0.20549775660037994,0.21897578239440918,10,175700.0,5,130700.0,5,133500.0,False
fisser_0040,sza_lt65,0.005953714717179537,0.01786114415153861,0.054222457110881805,3,8200.0,3,8200.0,4,9800.0,False
fisser_0051,sza_lt65,0.09079844504594803,0.2723953351378441,0.16931679844856262,144,1846700.0,73,339400.0,33,173600.0,False
fisser_0053,sza_lt65,0.04634910821914673,0.13904732465744019,0.15230098366737366,7,213500.0,6,116800.0,6,124100.0,False
fisser_0058,sza_lt65,0.13744719326496124,0.41234157979488373,0.17784568667411804,2,4829500.0,34,2898700.0,36,202600.0,False
fisser_0076,sza_lt65,0.10777099430561066,0.32331298291683197,0.21266834437847137,1,6025000.0,89,2693100.0,90,643300.0,False
fisser_0083,sza_lt65,0.03571551665663719,0.10714654996991158,0.1736173927783966,26,81500.0,9,28000.0,14,43100.0,False
fisser_0089,sza_lt65,0.09173864871263504,0.2752159461379051,0.21323241293430328,49,618600.0,24,241700.0,17,183200.0,False
fisser_0116,sza_lt65,0.1261674016714096,0.3785022050142288,0.2203834056854248,164,1290300.0,72,457300.0,44,236400.0,False
fisser_0120,sza_lt65,0.05163349211215973,0.1549004763364792,0.26783084869384766,52,1708500.0,4,17900.0,9,37300.0,False
fisser_0122,sza_lt65,0.058375339955091476,0.17512601986527443,0.09227655827999115,140,1503400.0,94,379300.0,13,48300.0,False
fisser_0151,sza_lt65,0.09194308519363403,0.2758292555809021,0.1616414189338684,48,3207900.0,107,470800.0,43,138400.0,False
fisser_0154,sza_lt65,0.0075043682008981705,0.02251310460269451,0.07031171768903732,1,1700.0,1,1700.0,3,23400.0,False
fisser_0168,sza_lt65,0.03450971841812134,0.10352915525436401,0.1340736299753189,11,100900.0,6,71400.0,6,80700.0,False
fisser_0170,sza_lt65,0.08100684732198715,0.24302054196596146,0.16739590466022491,231,2263200.0,61,224500.0,36,131100.0,False
fisser_0188,sza_lt65,0.061585746705532074,0.18475724011659622,0.08550351858139038,10,3644000.0,176,1934600.0,41,151800.0,False
fisser_0189,sza_lt65,0.09329231083393097,0.2798769325017929,0.20017968118190765,170,1037700.0,55,175000.0,34,101500.0,False
fisser_0193,sza_lt65,0.03855251893401146,0.11565755680203438,0.20950213074684143,13,98300.0,4,43700.0,6,53500.0,False
fisser_0198,sza_lt65,0.0823027566075325,0.2469082698225975,0.1094677671790123,57,1899100.0,66,1024700.0,23,151300.0,False
fisser_0199,sza_lt65,0.14585694670677185,0.43757084012031555,0.2395170032978058,3,5726200.0,101,3068700.0,81,424800.0,False
fisser_0204,sza_lt65,0.0021665783133357763,0.006499734940007329,0.023713279515504837,1,1600.0,1,8800.0,6,64100.0,False
fisser_0208,sza_lt65,0.09629164636135101,0.28887493908405304,0.16270312666893005,33,3447000.0,125,531400.0,48,139700.0,False
fisser_0214,sza_lt65,0.09348829090595245,0.28046487271785736,0.138243168592453,97,3003200.0,113,1048500.0,43,203400.0,False
fisser_0217,sza_lt65,0.05934745818376541,0.17804237455129623,0.26183319091796875,18,191900.0,7,59700.0,10,88700.0,False
fisser_0225,sza_lt65,0.04574962705373764,0.13724888116121292,0.18798828125,26,91200.0,9,35500.0,13,45800.0,False
fisser_0232,sza_lt65,0.09753265231847763,0.2925979569554329,0.18628592789173126,199,1066600.0,51,272200.0,35,146000.0,False
fisser_0244,sza_lt65,0.05312536656856537,0.1593760997056961,0.14894822239875793,21,202400.0,11,139300.0,10,131700.0,False
fisser_0246,sza_lt65,0.05752331018447876,0.17256993055343628,0.11960195004940033,2,5645900.0,73,1880100.0,50,485200.0,False
fisser_0253,sza_lt65,0.024057792499661446,0.07217337749898434,0.18223945796489716,2,86200.0,4,17400.0,3,67400.0,False
fisser_0260,sza_lt65,0.14332671463489532,0.429980143904686,0.18825975060462952,52,2741800.0,96,1297000.0,37,200400.0,False
fisser_0261,sza_lt65,0.044717129319906235,0.1341513879597187,0.21162831783294678,6,106000.0,4,65200.0,4,77000.0,False
fisser_0262,sza_lt65,0.04961893707513809,0.14885681122541428,0.14970293641090393,36,154000.0,14,81800.0,14,81900.0,False
fisser_0268,sza_lt65,0.07677643746137619,0.23032931238412857,0.1767900288105011,56,2547800.0,36,216200.0,26,156200.0,False
fisser_0272,sza_lt65,0.11315341293811798,0.33946023881435394,0.20911386609077454,162,1760000.0,62,374200.0,36,213500.0,False
fisser_0273,sza_lt65,0.05508354306221008,0.16525062918663025,0.2587939500808716,5,96000.0,4,66600.0,4,76400.0,False
fisser_0290,sza_lt65,0.07837406545877457,0.2351221963763237,0.23335488140583038,19,231100.0,17,166600.0,17,166200.0,False
fisser_0293,sza_lt65,0.13011401891708374,0.3903420567512512,0.21015037596225739,133,1175900.0,78,588400.0,48,274600.0,False
fisser_0301,sza_lt65,0.0815330445766449,0.2445991337299347,0.08789941668510437,9,3295900.0,15,2404500.0,16,153200.0,False
fisser_0319,sza_lt65,0.023641519248485565,0.0709245577454567,0.11331543326377869,22,67600.0,11,31900.0,18,56100.0,False
fisser_0320,sza_lt65,0.10748951882123947,0.3224685564637184,0.1835259646177292,3,5573500.0,33,2062700.0,56,467100.0,False
fisser_0326,sza_lt65,0.10243414342403412,0.30730243027210236,0.18610447645187378,57,3478900.0,111,386500.0,47,155400.0,False
fisser_0348,sza_lt65,0.02772543765604496,0.08317631296813488,0.13103201985359192,23,62600.0,15,36300.0,18,47700.0,False
