chip_stem,region,sza_bin,method,chip_crs,gpkg_crs,mismatch
S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c9984,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r10496_c3072,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r0512_c4352,SK,sza_65_70,UNet,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r2560_c3328,SK,sza_65_70,UNet,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r2816_c5376,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3584_c4352,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3840_c4864,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4608,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4864,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4608_c7168,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4864_c4608,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r9728_c0512,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2048_c4608,SK,sza_65_70,UNet,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2048,SK,sza_65_70,UNet,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3328_c1536,SK,sza_65_70,UNet,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3584_c0000,SK,sza_65_70,UNet,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4864_c3584,SK,sza_65_70,UNet,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c10496,SK,sza_65_70,UNet,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r0000_c4864,SK,sza_65_70,UNet,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2304_c2304,SK,sza_65_70,UNet,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r5632_c10496,SK,sza_65_70,UNet,EPSG:32624,EPSG:32624,0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3840_c3840,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4096_c5376,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4608_c6656,KQ,sza_65_70,UNet,EPSG:32625,EPSG:32625,0
