tau,tp,fp,fn,tn,precision,recall,f1,iou
0.0500,108973,300657,28542,10768484,0.266028,0.792444,0.398333,0.248699
0.1000,105622,244059,31893,10825082,0.302052,0.768076,0.433591,0.276806
0.1500,103698,217813,33817,10851328,0.322533,0.754085,0.451818,0.291837
0.2000,102117,200653,35398,10868488,0.337276,0.742588,0.463868,0.301971
0.2500,100748,188046,36767,10881095,0.348858,0.732633,0.472652,0.309460
0.3000,99543,177679,37972,10891462,0.359073,0.723870,0.480030,0.315815
0.3500,98424,169079,39091,10900062,0.367936,0.715733,0.486023,0.321024
0.4000,97314,161265,40201,10907876,0.376341,0.707661,0.491368,0.325705
0.4500,96202,154133,41313,10915008,0.384293,0.699575,0.496078,0.329857
0.5000,95127,147521,42388,10921620,0.392037,0.691757,0.500454,0.333737
0.5500,94040,141134,43475,10928007,0.399874,0.683853,0.504657,0.337486
0.6000,92884,134761,44631,10934380,0.408021,0.675446,0.508730,0.341139
0.6500,91615,128220,45900,10940921,0.416744,0.666218,0.512747,0.344761
0.7000,90181,121633,47334,10947508,0.425756,0.655790,0.516310,0.347990
0.7500,88583,114523,48932,10954618,0.436142,0.644170,0.520126,0.351467
0.8000,86550,106712,50965,10962429,0.447838,0.629386,0.523313,0.354383
0.8500,83829,97440,53686,10971701,0.462456,0.609599,0.525930,0.356787
0.9000,80112,86075,57403,10983066,0.482059,0.582569,0.527570,0.358299
0.9500,73195,70068,64320,10999073,0.510913,0.532269,0.521373,0.352606
