chip_stem,reason
fisser_0001,probs_missing
fisser_0005,probs_missing
fisser_0010,probs_missing
fisser_0011,probs_missing
fisser_0018,probs_missing
fisser_0019,probs_missing
fisser_0027,probs_missing
fisser_0028,probs_missing
fisser_0035,probs_missing
fisser_0036,probs_missing
fisser_0039,probs_missing
fisser_0040,probs_missing
fisser_0051,probs_missing
fisser_0053,probs_missing
fisser_0058,probs_missing
fisser_0076,probs_missing
fisser_0083,probs_missing
fisser_0089,probs_missing
fisser_0116,probs_missing
fisser_0120,probs_missing
fisser_0122,probs_missing
fisser_0151,probs_missing
fisser_0154,probs_missing
fisser_0168,probs_missing
fisser_0170,probs_missing
fisser_0188,probs_missing
fisser_0189,probs_missing
fisser_0193,probs_missing
fisser_0198,probs_missing
fisser_0199,probs_missing
fisser_0204,probs_missing
fisser_0208,probs_missing
fisser_0214,probs_missing
fisser_0217,probs_missing
fisser_0225,probs_missing
fisser_0232,probs_missing
fisser_0244,probs_missing
fisser_0246,probs_missing
fisser_0253,probs_missing
fisser_0260,probs_missing
fisser_0261,probs_missing
fisser_0262,probs_missing
fisser_0268,probs_missing
fisser_0272,probs_missing
fisser_0273,probs_missing
fisser_0290,probs_missing
fisser_0293,probs_missing
fisser_0301,probs_missing
fisser_0319,probs_missing
fisser_0320,probs_missing
fisser_0326,probs_missing
fisser_0348,probs_missing
fisser_0352,probs_missing
fisser_0354,probs_missing
fisser_0357,probs_missing
fisser_0386,probs_missing
fisser_0389,probs_missing
