chip_stem,region,sza_bin,range_p,would_skip_at_0p005,would_skip_at_0p01,would_skip_at_0p02,would_skip_at_0p05
S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c9984,KQ,sza_65_70,0.9993044137954712,0,0,0,0
S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r10496_c3072,KQ,sza_65_70,0.978222668170929,0,0,0,0
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r0512_c4352,KQ,sza_65_70,0.9681037664413452,0,0,0,0
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r2560_c3328,KQ,sza_65_70,0.8818449974060059,0,0,0,0
S2A_MSIL1C_20161107T141402_N0500_R053_T24WVT_20230921T211238_r6144_c9984,KQ,sza_gt75,0.194553941488266,0,0,0,0
S2A_MSIL1C_20161107T141402_N0500_R053_T24WVT_20230921T211238_r9472_c9984,KQ,sza_gt75,0.9110214114189148,0,0,0,0
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r10496_c5120,KQ,sza_gt75,0.2922298014163971,0,0,0,0
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r6400_c0000,KQ,sza_gt75,0.9687029123306274,0,0,0,0
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r8448_c0768,KQ,sza_gt75,0.7852332592010498,0,0,0,0
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r9472_c1792,KQ,sza_gt75,0.2011234313249588,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r0768_c4096,KQ,sza_gt75,0.9995267391204834,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r2560_c4352,KQ,sza_gt75,0.16112618148326874,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r2816_c4352,KQ,sza_gt75,0.2863660752773285,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r3584_c2304,KQ,sza_gt75,0.1599138379096985,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r7936_c2048,KQ,sza_gt75,0.15928541123867035,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r4096_c4096,SK,sza_gt75,0.8910861611366272,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r4352_c5888,SK,sza_gt75,0.9996116757392883,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r5376_c6400,SK,sza_gt75,0.9996503591537476,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r5632_c4608,SK,sza_gt75,0.9993398189544678,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r5888_c5632,SK,sza_gt75,0.9995622634887695,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r6912_c5376,SK,sza_gt75,0.9996265172958374,0,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r8704_c2560,SK,sza_gt75,0.4272896945476532,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r2816_c5376,KQ,sza_65_70,0.9995551705360413,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3584_c4352,KQ,sza_65_70,0.9994595646858215,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3840_c4864,KQ,sza_65_70,0.9995173215866089,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4608,KQ,sza_65_70,0.9994364976882935,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4864,KQ,sza_65_70,0.9994392395019531,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4608_c7168,KQ,sza_65_70,0.9986264705657959,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4864_c4608,KQ,sza_65_70,0.9994850158691406,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5376_c4864,KQ,sza_65_70,0.15296000242233276,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c4352,KQ,sza_65_70,0.15560871362686157,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,KQ,sza_65_70,0.9871150255203247,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7424_c2048,KQ,sza_65_70,0.15396800637245178,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,KQ,sza_65_70,0.9974057674407959,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c3328,KQ,sza_65_70,0.15086261928081512,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,KQ,sza_65_70,0.9990258812904358,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c1536,KQ,sza_65_70,0.15650944411754608,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c4352,KQ,sza_65_70,0.15105409920215607,0,0,0,0
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r9728_c0512,KQ,sza_65_70,0.6466375589370728,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WVT_20230619T094106_r7424_c10240,KQ,sza_65_70,0.15262846648693085,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r10496_c7936,KQ,sza_65_70,0.14743942022323608,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2048_c4608,KQ,sza_65_70,0.9955658912658691,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2048,KQ,sza_65_70,0.997194230556488,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3328_c1536,KQ,sza_65_70,0.9941323399543762,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3584_c0000,KQ,sza_65_70,0.9455328583717346,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4096_c0512,KQ,sza_65_70,0.15204520523548126,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4864_c3584,KQ,sza_65_70,0.9771568179130554,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5376_c1280,KQ,sza_65_70,0.14963513612747192,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r6400_c7424,KQ,sza_65_70,0.1505909115076065,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c0512,KQ,sza_65_70,0.15107399225234985,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c10496,KQ,sza_65_70,0.6375073790550232,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7680_c1280,KQ,sza_65_70,0.15114492177963257,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r8448_c7168,KQ,sza_65_70,0.14929522573947906,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r9728_c7936,KQ,sza_65_70,0.15406785905361176,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r0000_c4864,KQ,sza_65_70,0.9974395036697388,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2048_c3840,KQ,sza_65_70,0.15236055850982666,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2304_c2304,KQ,sza_65_70,0.9242268204689026,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4096_c5120,KQ,sza_65_70,0.3843012750148773,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4608_c9216,KQ,sza_65_70,0.15005376935005188,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r5632_c10496,KQ,sza_65_70,0.7680167555809021,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9472_c2048,KQ,sza_70_75,0.9995081424713135,0,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9728_c2048,KQ,sza_70_75,0.9989669919013977,0,0,0,0
S2A_MSIL1C_20201003T143041_N0500_R139_T24WVT_20230306T133643_r6400_c10496,KQ,sza_70_75,0.1506371647119522,0,0,0,0
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r6656_c5632,SK,sza_70_75,0.9992007613182068,0,0,0,0
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r7424_c4864,SK,sza_70_75,0.9993592500686646,0,0,0,0
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r7936_c2560,SK,sza_70_75,0.9989645481109619,0,0,0,0
S2A_MSIL1C_20201102T143351_N0500_R139_T24WVT_20230318T171809_r5120_c9984,KQ,sza_gt75,0.9790897369384766,0,0,0,0
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r3584_c0256,KQ,sza_gt75,0.9995598196983337,0,0,0,0
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r4096_c0256,KQ,sza_gt75,0.9995922446250916,0,0,0,0
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r6912_c5120,SK,sza_gt75,0.9994981288909912,0,0,0,0
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r6912_c5632,SK,sza_gt75,0.9996054172515869,0,0,0,0
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r7168_c5120,SK,sza_gt75,0.9995021820068359,0,0,0,0
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r3584_c0512,KQ,sza_65_70,0.15036790072917938,0,0,0,0
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r6144_c0512,KQ,sza_65_70,0.15024583041667938,0,0,0,0
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c4096,SK,sza_gt75,0.986858606338501,0,0,0,0
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r5888_c6144,SK,sza_gt75,0.9991394877433777,0,0,0,0
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r6400_c5120,SK,sza_gt75,0.9994993805885315,0,0,0,0
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r6656_c4864,SK,sza_gt75,0.999498188495636,0,0,0,0
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r7168_c4864,SK,sza_gt75,0.9991488456726074,0,0,0,0
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8704_c2816,SK,sza_gt75,0.3077144920825958,0,0,0,0
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9216_c4096,SK,sza_gt75,0.9989597201347351,0,0,0,0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10496_c1792,KQ,sza_70_75,0.9674510359764099,0,0,0,0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9984_c1792,KQ,sza_70_75,0.9995310306549072,0,0,0,0
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r2560_c2560,KQ,sza_gt75,0.9993486404418945,0,0,0,0
