chip_stem,region,sza_bin,otsu_thresh,ice_px_otsu,ice_px_floor_0p3,ice_px_floor_0p5,ice_px_floor_0p7
S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c9984,KQ,sza_65_70,0.44349631667137146,4630,4630,4432,3819
S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r10496_c3072,KQ,sza_65_70,0.32323312759399414,317,317,223,133
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r0512_c4352,KQ,sza_65_70,0.3237500488758087,81,81,58,35
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r2560_c3328,KQ,sza_65_70,0.3089049458503723,199,199,139,77
S2A_MSIL1C_20161107T141402_N0500_R053_T24WVT_20230921T211238_r6144_c9984,KQ,sza_gt75,0.02671852521598339,191,0,0,0
S2A_MSIL1C_20161107T141402_N0500_R053_T24WVT_20230921T211238_r9472_c9984,KQ,sza_gt75,0.2976228594779968,33,33,22,12
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r10496_c5120,KQ,sza_gt75,0.051689326763153076,59,0,0,0
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r6400_c0000,KQ,sza_gt75,0.3961244523525238,41,41,36,31
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r8448_c0768,KQ,sza_gt75,0.25702089071273804,25,25,12,4
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r9472_c1792,KQ,sza_gt75,0.033590689301490784,157,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r0768_c4096,KQ,sza_gt75,0.47091519832611084,3097,3097,3070,2862
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r2560_c4352,KQ,sza_gt75,0.03526969999074936,21,0,0,0
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r2816_c4352,KQ,sza_gt75,0.07492094486951828,36,0,0,0
